,Unique_Values,Value_Counts
0,4DR,6936
1,SEDAN,5172
2,4 DR,2452
3,sedan,2303
4,SUV,1740
5,4dr,1278
6,4 DOOR,1042
7,2DR,822
8,4 dr,738
9,COUPE,716
10,VAN,658
11,UTIL,638
12,4 door,638
13,Sedan,563
14,SED,427
15,ACCORD,346
16,2 DR,331
17,suv,310
18,van,299
19,CIVIC,272
20,PU,265
21,UTILITY,220
22,HATCH,215
23,coupe,211
24,ALTIMA,208
25,2dr,197
26,CAMRY,165
27,utility,161
28,2 DOOR,138
29,accord,133
30,WAGON,132
31,util,131
32,civic,125
33,4 Door,106
34,SCOOTER,105
35,MAXIMA,103
36,MALIBU,99
37,hatch,91
38,4 Dr,90
39,COROLLA,89
40,EXPLORER,85
41,IMPALA,81
42,2 dr,80
43,CHARGER,78
44,TAURUS,76
45,4-door,76
46,camry,72
47,Accord,71
48,P/U,70
49,altima,70
50,Utility,69
51,MINIVAN,67
52,G35,66
53,pu,64
54,2 door,61
55,STWAG,60
56,Altima,59
57,SW,58
58,FUSION,55
59,Coupe,54
60,TRUCK,54
61,wagon,53
62,4,51
63,ST WAG,50
64,Van,50
65,STATION WAGON,47
66,FOCUS,45
67,pick up,44
68,MAX,44
69,s u v,43
70,MOPED,43
71,300,41
72,CARAVAN,41
73,TL,40
74,PASSAT,39
75,4Dr,38
76,SENTRA,38
77,NEON,37
78,maxima,37
79,CHEROKEE,36
80,impala,35
81,explorer,35
82,4DOOR,35
83,JETTA,34
84,Camry,34
85,PICKUP,33
86,Util,33
87,4door,33
88,truck,32
89,p/u,32
90,32TL,31
91,ESCAPE,31
92,Civic,31
93,INTEGRA,31
94,ES300,29
95,Maxima,29
96,taurus,28
97,corolla,28
98,4 Dr.,27
99,A6,27
100,CRV,26
101,scooter,26
102,ALT,26
103,GALANT,25
104,ACC,24
105,Hatch,24
106,pickup,24
107,SONATA,23
108,TK,23
109,station wagon,22
110,Malibu,22
111,CAMERY,21
112,DURANGO,21
113,moped,20
114,ELANTRA,20
115,MAXI,20
116,DEVILLE,20
117,TAHOE,20
118,STRATUS,19
119,SEBRING,19
120,malibu,19
121,charger,19
122,A4,19
123,Wagon,19
124,p/up,18
125,minivan,18
126,AVENGER,17
127,Explorer,17
128,jetta,17
129,fusion,16
130,JEEP,16
131,CAMARY,16
132,CONV,16
133,STATIONWAGON,16
134,Corolla,16
135,TSX,16
136,sedn,16
137,MINI VAN,16
138,Scooter,16
139,F150,16
140,passat,15
141,EXP,15
142,4D,15
143,PICK-UP,15
144,HATCHBACK,14
145,PILOT,14
146,EXPED,14
147,stwag,14
148,st wag,14
149,MDX,14
150,LS,13
151,EXPEDITION,13
152,SDN,13
153,COUP,13
154,PICK UP,13
155,DIRT BIKE,13
156,LIBERTY,13
157,ENVOY,12
158,durango,12
159,3.2,12
160,2 Dr,12
161,I30,12
162,GS300,12
163,LUMINA,12
164,Taurus,12
165,DIRTBIKE,12
166,Impala,12
167,328XI,12
168,Sonata,12
169,CONVT,12
170,BLAZER,11
171,mini van,11
172,CAM,11
173,AVALON,11
174,325I,11
175,4 doors,11
176,E320,11
177,SIENNA,11
178,Passat,11
179,Minivan,11
180,500,10
181,cherokee,10
182,sw,10
183,EDGE,10
184,SEDAB,10
185,Caravan,10
186,4 DOR,10
187,ACCENT,10
188,200,10
189,WAG,9
190,DTS,9
191,tk,9
192,S80,9
193,328I,9
194,4 dr.,9
195,PT CRUISER,9
196,SWAG,9
197,3 DR,9
198,caravan,9
199,neon,9
200,INTREPID,9
201,Fusion,9
202,Charger,9
203,RAV 4,8
204,SILVERADO,8
205,C300,8
206,2 Dr.,8
207,TERRAIN,8
208,SABLE,8
209,2-door,8
210,sentra,8
211,GRACHE,8
212,Durango,8
213,Integra,8
214,SEVILLE,8
215,RAV4,8
216,325,8
217,2 Door,8
218,Sentra,8
219,integra,8
220,sable,8
221,CROWN VIC,8
222,TOWN CAR,8
223,Elantra,8
224,COMPACT,7
225,RAM,7
226,COPUE,7
227,stawagn,7
228,TAXI,7
229,CPE,7
230,93,7
231,STATION,7
232,focus,7
233,AURORA,7
234,YUKON,7
235,MOTORCYCLE,7
236,Galant,7
237,WRANGLER,7
238,sonata,7
239,RDX,7
240,ECLIPSE,7
241,INTEG,7
242,GRAND CHEROKEE,7
243,XTYPE,7
244,626,7
245,X5,7
246,Avenger,7
247,MOUNTAINEER,7
248,E350,7
249,deville,7
250,Pick up,7
251,YARIS,7
252,sedab,6
253,YTIL,6
254,MUSTANG,6
255,HHR,6
256,STWG,6
257,2,6
258,Jetta,6
259,MURANO,6
260,CONTOUR,6
261,740IL,6
262,MAGNUM,6
263,escape,6
264,Carolla,6
265,OPTIMA,6
266,745I,6
267,blazer,6
268,JOURNEY,6
269,expl,6
270,MARQ,6
271,ST WAGON,6
272,V,6
273,PROTEGE,6
274,S40,6
275,ML320,6
276,box,6
277,coup,6
278,tahoe,6
279,CIV,6
280,525I,6
281,S/W,6
282,VERSA,6
283,Truck,6
284,Convertible,6
285,CTS,6
286,FORTE,6
287,galant,6
288,Murano,6
289,X3,6
290,COOPER,5
291,mustang,5
292,3,5
293,4 DR.,5
294,scion,5
295,cavalier,5
296,4DR-PURPLE,5
297,Neon,5
298,LEGACY,5
299,CONVERTABLE,5
300,ESCALADE,5
301,Rav 4,5
302,2Dr,5
303,SEAN,5
304,Pick Up,5
305,avalon,5
306,ML350,5
307,sed,5
308,Accord Sedan,5
309,5 SERIES,5
310,UTL,5
311,STRATUSS,5
312,32CL,5
313,e350,5
314,RL,5
315,rav 4,5
316,motorcycle,5
317,HONDA,5
318,TRK,5
319,spectra,5
320,MV,5
321,NAVIGATOR,5
322,PRIUS,5
323,PASS,5
324,lesabre,5
325,CAMSOL,5
326,celica,5
327,LESABRE,5
328,WINDSTAR,5
329,trailblazer,5
330,Mini Van,5
331,CAVALIER,5
332,TROOPER,5
333,CENTURY,5
334,S60,5
335,XJ6,5
336,EQUINOX,5
337,HIGHLANDER,5
338,GALLANT,5
339,M/C,5
340,ALERO,5
341,30CL,5
342,CAROLLA,5
343,6,5
344,Suv,4
345,A-6,4
346,150,4
347,box truck,4
348,P U,4
349,ATL,4
350,seda,4
351,crown vic,4
352,dirtbike,4
353,PT,4
354,elantra,4
355,DIAMAN,4
356,C240,4
357,SEQUO,4
358,CONVERT,4
359,MKS,4
360,Focus,4
361,MPV,4
362,METRO,4
363,stratus,4
364,intrepid,4
365,TACOMA,4
366,2DOOR,4
367,3.2TL,4
368,mc,4
369,750ml,4
370,SEQU,4
371,COUGAR,4
372,INT,4
373,rdr,4
374,MTNR,4
375,silverado,4
376,stwagon,4
377,TOWNCAR,4
378,wrangler,4
379,SPECTRE,4
380,TRAIL BLAZER,4
381,Bicycle,4
382,GOLF,4
383,GRANDAM,4
384,ACADIA,4
385,pathfinder,4
386,MINI,4
387,SRX,4
388,SCION,4
389,max,4
390,COR,4
391,BOX TRUCK,4
392,TC,4
393,STWAGON,4
394,EXPL,4
395,IMP,4
396,COMPASS,4
397,Q7,4
398,IMPREZA,4
399,hatchback,4
400,STW,4
401,Lancer,4
402,Avalon,4
403,4 RUNNER,4
404,UHAUL,4
405,G37,4
406,UTIL.,4
407,580,4
408,DAKOTA,4
409,635,4
410,DODGE,4
411,gs300,4
412,Moped,4
413,c240,4
414,MC,4
415,FORESTER,4
416,BROWN,4
417,J30,4
418,4-dr,4
419,BLACK,3
420,SEDAN 4DR,3
421,130,3
422,SLI,3
423,stawagon,3
424,Trail Blazer,3
425,MAILBU,3
426,AWD,3
427,CP,3
428,740 i,3
429,G25,3
430,VOYAGER,3
431,V40,3
432,2 DOR,3
433,323I,3
434,monte carlo,3
435,ELEMENT,3
436,PATHFINDER,3
437,SL2,3
438,pacifica,3
439,CHARGE,3
440,5DR,3
441,4 d,3
442,tsx,3
443,BOXTRUCK,3
444,MALIBU-4DR,3
445,SC400,3
446,E550,3
447,LANCER,3
448,740i,3
449,SEDAM,3
450,HB,3
451,4X4,3
452,CAVAL,3
453,CONT,3
454,stawag,3
455,M3,3
456,liberty,3
457,GRAND CHER,3
458,p u,3
459,280,3
460,rogue,3
461,FX,3
462,DEVI,3
463,Station Wagon,3
464,SEQUOIA,3
465,ALTIMA 4DR,3
466,CRUZE,3
467,Intrepid,3
468,350,3
469,SEDAN 4 DR,3
470,CAMARO,3
471,ACCORD SEDAN,3
472,mini-van,3
473,540,3
474,tl 4 dr,3
475,cruz,3
476,magnum,3
477,cutlas,3
478,STWGN,3
479,Protege,3
480,BUS,3
481,CIVIC COUPE,3
482,E150,3
483,SOLARA,3
484,GRAY,3
485,ion,3
486,DIAM,3
487,3DR,3
488,VOYAGE,3
489,ls,3
490,MOTOR CYCLE,3
491,convertible,3
492,DR,3
493,cruze,3
494,WHITE,3
495,GTI,3
496,SEADAN,3
497,dirt bike,3
498,VENTURE,3
499,560,3
500,35,3
501,Cherokee,3
502,S WAG,3
503,CIRRUS,3
504,SDAN,3
505,HATCH BACK,3
506,crown,3
507,OUTBACK,3
508,ST. WAG,3
