,Unique_Values,Value_Counts
0,621880,1
1,662806,1
2,632523,1
3,659464,1
4,659465,1
5,659466,1
6,659467,1
7,558784,1
8,519882,1
9,659490,1
10,632716,1
11,659491,1
12,659492,1
13,659493,1
14,659494,1
15,659495,1
16,662804,1
17,632522,1
18,632521,1
19,632520,1
20,561489,1
21,647946,1
22,659459,1
23,659460,1
24,659461,1
25,659462,1
26,561462,1
27,659463,1
28,632519,1
29,606632,1
30,606633,1
31,606634,1
32,606635,1
33,606636,1
34,632518,1
35,662805,1
36,662807,1
37,637887,1
38,662808,1
39,641858,1
40,641859,1
41,659540,1
42,573409,1
43,573410,1
44,573413,1
45,577396,1
46,550751,1
47,643060,1
48,643098,1
49,643099,1
50,643100,1
51,643101,1
52,648454,1
53,648455,1
54,641857,1
55,641856,1
56,640424,1
57,662809,1
58,633390,1
59,659496,1
60,633391,1
61,633419,1
62,633420,1
63,633421,1
64,633422,1
65,640423,1
66,659497,1
67,659537,1
68,659538,1
69,659539,1
70,641855,1
71,640422,1
72,647945,1
73,647944,1
74,647943,1
75,633389,1
76,659454,1
77,659455,1
78,659472,1
79,659473,1
80,659456,1
81,630216,1
82,630217,1
83,630218,1
84,630219,1
85,630220,1
86,659468,1
87,659469,1
88,659470,1
89,659457,1
90,659458,1
91,557443,1
92,557442,1
93,557385,1
94,633350,1
95,637889,1
96,659449,1
97,659450,1
98,659451,1
99,659452,1
100,659453,1
101,578041,1
102,633382,1
103,577833,1
104,577109,1
105,633351,1
106,633352,1
107,633380,1
108,633381,1
109,633383,1
110,633384,1
111,633385,1
112,562019,1
113,659620,1
114,659621,1
115,659622,1
116,659623,1
117,659624,1
118,562018,1
119,659625,1
120,516235,1
121,537300,1
122,659626,1
123,537281,1
124,659627,1
125,659628,1
126,659667,1
127,659619,1
128,662837,1
129,633386,1
130,659580,1
131,633387,1
132,633388,1
133,576857,1
134,662831,1
135,659578,1
136,659579,1
137,659581,1
138,662836,1
139,659582,1
140,659618,1
141,662832,1
142,662833,1
143,662834,1
144,662835,1
145,648493,1
146,662827,1
147,662828,1
148,659678,1
149,641926,1
150,641927,1
151,641928,1
152,641956,1
153,642063,1
154,642064,1
155,642065,1
156,641863,1
157,641891,1
158,642057,1
159,642058,1
160,642059,1
161,642060,1
162,642061,1
163,642062,1
164,629386,1
165,629357,1
166,629356,1
167,632281,1
168,637587,1
169,637622,1
170,637610,1
171,637527,1
172,633228,1
173,633229,1
174,632282,1
175,629355,1
176,632283,1
177,632298,1
178,632299,1
179,555057,1
180,629353,1
181,629354,1
182,632250,1
183,632251,1
184,632252,1
185,656232,1
186,659730,1
187,659731,1
188,659732,1
189,563449,1
190,656230,1
191,656231,1
192,659733,1
193,632324,1
194,656233,1
195,656234,1
196,656286,1
197,659734,1
198,659735,1
199,538600,1
200,659729,1
201,632323,1
202,632253,1
203,655223,1
204,632254,1
205,553440,1
206,553741,1
207,655220,1
208,655221,1
209,655222,1
210,655224,1
211,632322,1
212,554175,1
213,655225,1
214,632261,1
215,568190,1
216,568191,1
217,568192,1
218,659728,1
219,659677,1
220,662829,1
221,659676,1
222,518611,1
223,653490,1
224,653515,1
225,653516,1
226,653517,1
227,641600,1
228,641601,1
229,641602,1
230,641481,1
231,641482,1
232,641483,1
233,628451,1
234,628452,1
235,520429,1
236,520619,1
237,518571,1
238,554225,1
239,624770,1
240,662925,1
241,659577,1
242,552998,1
243,662838,1
244,662866,1
245,662867,1
246,553385,1
247,662787,1
248,624769,1
249,662812,1
250,624765,1
251,662839,1
252,624766,1
253,624767,1
254,624768,1
255,653165,1
256,633423,1
257,633424,1
258,662916,1
259,662875,1
260,662876,1
261,659674,1
262,662914,1
263,523291,1
264,662915,1
265,662917,1
266,662873,1
267,662918,1
268,662919,1
269,662920,1
270,662921,1
271,662922,1
272,659675,1
273,662874,1
274,662872,1
275,662868,1
276,632212,1
277,662869,1
278,662870,1
279,659668,1
280,662871,1
281,632210,1
282,632211,1
283,632213,1
284,659673,1
285,632214,1
286,632215,1
287,659670,1
288,659671,1
289,659672,1
290,632216,1
291,637888,1
292,637886,1
293,662943,1
294,511872,1
295,662760,1
296,662761,1
297,562646,1
298,562647,1
299,562648,1
300,562691,1
301,662754,1
302,662755,1
303,555333,1
304,656223,1
305,656224,1
306,656225,1
307,656226,1
308,656227,1
309,656228,1
310,662759,1
311,662758,1
312,662757,1
313,662753,1
314,642998,1
315,642999,1
316,643000,1
317,662738,1
318,662739,1
319,662752,1
320,565994,1
321,631513,1
322,566167,1
323,631509,1
324,631510,1
325,631511,1
326,631512,1
327,662756,1
328,656229,1
329,643872,1
330,659447,1
331,643873,1
332,608744,1
333,608745,1
334,608746,1
335,631508,1
336,659398,1
337,659399,1
338,659400,1
339,659401,1
340,659402,1
341,659403,1
342,633252,1
343,633253,1
344,633254,1
345,662775,1
346,633255,1
347,608743,1
348,608742,1
349,608716,1
350,659390,1
351,643874,1
352,643875,1
353,643876,1
354,659387,1
355,659388,1
356,659389,1
357,643877,1
358,659397,1
359,659391,1
360,659392,1
361,659393,1
362,659394,1
