,Unique_Values,Value_Counts
0,INVESTIGATE,97220
1,VAL,21270
2,DRUGS,5661
3,TRESPASSING,4718
4,WARRANTS,2451
5,DISTURBANCE,2159
6,PUBLIC DRINKING,2003
7,PROSTITUTION,1868
8,LARCENY,1853
9,GUNSHOTS,875
10,B&E,874
11,AFFRAY,785
12,209A,768
13,FIREARM,746
14,PANHANDLING,731
15,ALCOHOL,645
16,A&B,598
17,OTHER,444
18,ROBBERY,406
19,LOUD PARTY,396
20,DISORDERLY,396
21,CITY ORDINANCE,371
22,DISPUTE,338
23,VANDALISM,221
24,ABDW,209
25,MV ACCIDENT,189
26,INJURED PERSON,178
27,STOLEN MV,155
28,THREATS,150
29,A D,122
30,SICK ASSIST,99
31,SEARCH WARRANT EXECUTED,82
32,ASSAULT,82
33,OVERDOSE,80
34,OPEN & GROSS,70
35,INDECENT EXPOSURE,58
36,OUI,56
37,HARASSMENT,55
38,ATTEMPTED B&E,49
39,HOME INVASION,49
40,SEX-ASSAULT,46
41,ARREST WARRANT EXECUTION,44
42,RECEIVING,36
43,DANGEROUS WEAPON,33
44,PROPERTY,30
45,SEXUAL OFFENDER,30
46,GRAFFITI,30
47,IMPERSONATION,28
48,HOMICIDE,27
49,USING MV W,25
