,Unique_Values,Value_Counts
0,OTHER,13770
1,4771,8670
2,485,7285
3,1350,4041
4,543,3583
5,4562,3562
6,2893,2216
7,1389,2115
8,1020,2080
9,822,2050
10,4124,2025
11,163,1646
12,4762,1535
13,3272,1483
14,2104,1423
15,2122,1361
16,1839,1194
17,3434,1167
18,3094,1098
19,4402,1093
20,529,1084
21,1023,1084
22,4700,1032
23,2326,901
24,37,896
25,506,714
26,3844,706
27,3727,693
28,4085,688
29,68,678
30,1438,633
31,1033,606
32,2346,605
33,2065,573
34,106,529
35,2096,522
36,134,514
37,2294,504
38,2974,489
39,4740,479
40,2281,478
41,1600,454
42,3426,449
43,4687,423
44,135,414
45,2336,407
46,531,401
47,659,397
48,4965,392
49,4203,386
50,361,380
51,4571,379
52,720,377
53,3339,370
54,4063,364
55,2800,363
56,5005,358
57,3239,353
58,2907,351
59,1044,350
60,3274,346
61,2636,341
62,856,337
63,4200,328
64,3123,324
65,3957,320
66,4182,320
67,4345,317
68,1173,315
69,1441,307
70,1584,306
71,2667,304
72,1896,300
73,418,300
74,232,295
75,1233,295
76,4356,294
77,190,292
78,875,291
79,1772,291
80,3283,283
81,1206,279
82,1535,279
83,4331,278
84,786,273
85,1133,271
86,5057,270
87,2589,268
88,3293,268
89,3121,267
90,4828,263
91,1578,262
92,2958,259
93,4035,258
94,2836,257
95,4731,256
96,873,256
97,2359,255
98,4333,254
99,3256,254
100,4892,252
101,1445,247
102,814,246
103,1813,244
104,1351,243
105,3355,234
106,2173,231
107,1979,229
108,2118,229
109,3607,224
110,1207,223
111,2513,220
112,4742,218
113,2302,217
114,3290,216
115,2056,215
116,731,213
117,4645,211
118,262,210
119,4787,208
120,4968,205
121,364,205
122,3556,205
123,249,205
124,2797,204
125,2275,204
126,2949,202
127,630,202
128,2805,202
129,4987,202
130,4045,198
131,1256,197
132,4730,191
133,1196,188
134,3089,187
135,1803,187
136,3790,187
137,4870,185
138,1832,182
139,109,180
140,2719,180
141,1373,179
142,1442,179
143,4549,178
144,281,176
145,2929,174
146,141,174
147,4724,173
148,2860,173
149,2052,171
150,2538,171
151,1436,169
152,3222,168
153,3330,168
154,4732,167
155,796,166
156,2526,165
157,425,164
158,623,164
159,714,164
160,723,163
161,4754,163
162,3401,162
163,512,162
164,3009,159
165,2332,158
166,1307,158
167,3944,158
168,439,158
169,1606,157
170,4295,156
171,4739,154
172,427,154
173,2117,154
174,978,154
175,2665,154
176,4370,154
177,4493,152
178,4872,152
179,3382,150
180,2680,150
181,1029,149
182,3560,148
183,1786,147
184,1199,144
185,2507,142
186,4894,142
187,526,141
188,3031,140
189,1854,140
190,1683,140
191,1507,140
192,237,140
193,207,139
194,4405,139
195,779,139
196,5007,138
197,4722,138
198,2298,136
199,54,136
200,4207,135
201,959,134
202,3605,134
203,3269,133
204,3487,132
205,1987,132
206,4646,132
207,3416,131
208,1312,131
209,1880,131
210,1490,130
211,3314,129
212,3206,129
213,4980,129
214,3083,128
215,2879,128
216,2544,126
217,1845,124
218,828,124
219,598,123
220,4683,123
221,2070,122
222,1334,122
223,2448,122
224,2476,122
225,3877,120
226,3020,120
227,642,120
228,1142,120
229,1177,119
230,4583,119
231,308,119
232,2908,119
233,2961,119
234,4026,118
235,4758,118
236,3622,117
237,2305,117
238,3195,116
239,5021,116
240,4270,116
241,285,115
242,3431,113
243,1043,113
244,3026,112
245,4719,112
246,1668,111
247,3975,111
248,4784,110
249,4282,110
250,4324,109
251,1204,109
252,3395,109
253,2331,109
254,2058,106
255,716,106
256,2525,106
257,619,104
258,2102,104
259,916,104
260,2954,103
261,2227,103
262,1583,103
263,4289,102
264,1527,102
265,676,102
266,4780,102
267,4745,101
268,2555,101
269,1534,100
270,4219,99
271,2485,99
272,618,99
273,290,98
274,3128,98
275,4692,98
276,4705,97
277,2343,97
278,3076,97
279,1330,96
280,1021,96
281,156,95
282,1982,94
283,1740,94
284,2601,93
285,4897,93
286,3475,92
287,2320,92
288,3051,91
289,868,91
290,1961,91
291,151,91
292,3834,90
293,4154,90
294,1070,90
295,2361,90
296,1870,89
297,4338,89
298,3775,89
299,73,89
300,435,88
301,173,87
302,2986,87
303,4859,87
304,457,87
305,3927,86
306,166,86
307,2842,86
308,2312,86
309,4883,86
310,612,85
311,2935,85
312,1603,85
313,2244,84
314,3572,84
315,19,84
316,1775,83
317,653,83
318,2690,83
319,3373,83
320,4492,83
321,4301,82
322,2792,82
323,1437,81
324,1726,81
325,2765,81
326,2264,80
327,4679,79
328,583,79
329,920,79
330,4310,79
331,980,78
332,706,78
333,2642,78
334,1266,78
335,4840,77
336,4814,77
337,60,77
338,4940,77
339,4917,77
340,1387,76
341,136,76
342,5060,76
343,4962,76
344,5000,76
345,1894,76
346,2295,75
347,4138,75
348,402,75
349,733,74
350,381,74
351,1840,74
352,4257,73
353,1111,73
354,1759,73
355,108,73
356,4446,73
357,954,72
358,4790,72
359,4693,72
360,2278,72
361,2740,72
362,737,72
363,2920,72
364,848,72
365,2181,72
366,1738,71
367,2464,70
368,1461,70
369,1700,70
370,4688,69
371,4197,69
372,861,69
373,1634,69
374,2928,69
375,3588,68
376,1716,68
377,3454,68
378,4617,68
379,1616,68
380,1524,67
381,3424,67
382,2789,67
383,3418,66
384,2771,66
385,2781,66
386,1614,66
387,1809,66
388,1841,65
389,3177,65
390,1712,64
391,4977,64
392,1686,64
393,4093,64
394,4767,63
395,3158,63
396,4231,63
397,566,63
398,2661,63
399,2369,63
400,4369,62
401,3091,62
402,20,62
403,3549,62
404,239,62
405,2706,62
406,1432,62
407,4241,62
408,187,61
409,1008,61
410,4496,61
411,1259,61
412,1963,61
413,4580,61
414,1227,61
415,4343,61
416,559,61
417,5024,61
418,4444,61
419,440,61
420,2347,60
421,1723,60
422,3819,60
423,4431,60
424,2910,60
425,3033,60
426,2214,60
427,2770,59
428,394,59
429,2151,59
430,2577,59
431,2378,59
432,586,59
433,3345,59
434,994,59
435,87,59
436,665,58
437,26,58
438,4600,58
439,1641,58
440,2724,58
441,4661,57
442,1622,57
443,3280,57
444,3221,57
445,3840,57
446,4178,57
447,181,56
448,2473,56
449,17,56
450,2904,56
451,4792,56
452,608,56
453,950,55
454,1519,55
455,1822,55
456,4564,55
457,4753,55
458,4318,55
459,234,55
460,4856,55
461,2604,55
462,1183,55
463,335,55
464,5012,55
465,3585,55
466,3231,55
467,4677,55
468,4572,54
469,1424,54
470,622,54
471,754,54
472,4385,54
473,4991,54
474,473,54
475,3016,53
476,3913,53
477,3110,53
478,434,53
479,787,52
480,3081,52
481,1793,52
482,1146,52
483,2051,52
484,4420,51
485,384,51
486,208,51
487,258,51
488,1477,51
489,1404,51
490,2017,51
491,4573,51
492,637,51
493,4489,51
494,688,50
495,691,50
496,1488,50
497,3308,50
498,2734,49
499,3798,49
500,3,49
501,5018,49
502,4555,49
503,4652,49
504,2255,48
505,3717,48
506,4116,48
507,1773,48
508,1017,48
509,4244,48
510,299,48
511,3120,48
512,2456,47
513,3204,47
514,1874,47
515,603,47
516,1083,47
517,1811,47
518,353,47
519,2441,47
520,91,47
521,1314,47
522,1494,47
523,2167,47
524,1161,47
525,4691,47
526,955,47
527,3192,46
528,1306,46
529,1429,46
530,2508,46
531,76,46
532,5014,46
533,2020,46
534,4438,46
535,2937,46
536,1636,46
537,185,46
538,3396,46
539,2970,46
540,4764,45
541,1498,45
542,631,45
543,1216,45
544,1761,45
545,1796,45
546,4052,44
547,1287,44
548,1375,44
549,1403,44
550,4994,44
551,1086,44
552,1011,43
553,3854,43
554,2262,43
555,4726,43
556,1104,43
557,1431,43
558,2695,43
559,3978,43
560,4903,43
561,4986,43
562,1669,42
563,2107,42
564,1434,42
565,4125,42
566,1430,42
567,1331,42
568,5032,42
569,1646,42
570,1366,42
571,752,42
572,1365,42
573,189,41
574,1354,41
575,1789,41
576,392,41
577,3506,41
578,3287,41
579,2923,41
580,812,41
581,1695,41
582,2001,41
583,2091,41
584,245,40
585,1542,40
586,3379,40
587,4069,40
588,4049,40
589,560,40
590,2573,40
591,1393,40
592,1645,40
593,1966,40
594,1567,40
595,4747,39
596,3106,39
597,1077,39
598,4765,39
599,3356,39
600,2863,39
601,1231,39
602,4957,39
603,274,39
604,4928,39
605,4834,39
606,1468,38
607,2505,38
608,3327,38
609,1328,38
610,1664,38
611,4015,38
612,2889,38
613,2656,38
614,3042,38
615,3973,38
616,2366,38
617,3458,37
618,772,37
619,549,37
620,5040,37
621,4708,37
622,4810,37
623,773,37
624,4218,37
625,2646,37
626,1608,37
627,1484,37
628,1264,37
629,3384,37
630,2223,37
631,1702,37
632,4428,37
633,4463,37
634,1096,37
635,601,36
636,2408,36
637,1268,36
638,2007,36
639,726,36
640,3513,36
641,4996,36
642,4025,36
643,557,36
644,3250,36
645,782,36
646,1277,35
647,1831,35
648,3937,35
649,1705,35
650,1414,35
651,1590,35
652,3791,35
653,1824,35
654,1539,35
655,4293,35
656,1176,35
657,1455,35
658,4202,35
659,4910,34
660,3910,34
661,3176,34
662,1633,34
663,984,34
664,1289,34
665,3591,34
666,3749,34
667,4419,34
668,863,34
669,2876,33
670,1631,33
671,1666,33
672,2891,33
673,3631,33
674,2775,33
675,240,33
