,Unique_Values,Value_Counts
0,0.17142857142857143,9416
1,0.15714285714285714,8847
2,0.18571428571428572,8824
3,0.14285714285714285,8481
4,0.2,7750
5,0.12857142857142856,7592
6,0.2142857142857143,7027
7,0.2285714285714286,6177
8,0.11428571428571427,6148
9,0.24285714285714283,5187
10,0.2571428571428571,4719
11,0.1,4502
12,0.2714285714285714,4327
13,0.2857142857142857,4136
14,0.3,3621
15,0.3142857142857143,3585
16,0.32857142857142857,3233
17,0.34285714285714286,3016
18,0.08571428571428572,2992
19,0.35714285714285715,2625
20,0.3714285714285714,2423
21,0.38571428571428573,2145
22,0.39999999999999997,2000
23,0.4142857142857143,1820
24,0.4428571428571429,1792
25,0.45714285714285713,1755
26,0.4857142857142857,1732
27,0.07142857142857142,1732
28,0.49999999999999994,1712
29,0.42857142857142855,1711
30,0.47142857142857136,1687
31,0.5142857142857142,1625
32,0.5285714285714285,1575
33,0.5428571428571429,1459
34,0.5571428571428572,1456
35,0.5857142857142856,1208
36,0.5714285714285714,1194
37,0.6000000000000001,1126
38,0.6142857142857143,1021
39,0.6285714285714286,912
40,0.057142857142857134,717
41,0.6428571428571428,680
42,0.657142857142857,614
43,0.6714285714285715,530
44,0.6857142857142857,499
45,0.7,392
46,0.7142857142857142,331
47,0.7285714285714286,245
48,0.04285714285714287,237
49,0.7428571428571429,190
50,0.7571428571428571,165
51,0.7714285714285714,135
52,0.8,96
53,0.7857142857142856,95
54,0.02857142857142858,89
55,0.8142857142857143,75
56,0.8428571428571427,59
57,0.8285714285714285,57
58,0.8571428571428572,52
59,0.01428571428571429,37
60,0.8714285714285714,37
61,0.9000000000000001,37
62,0.8857142857142857,24
63,0.9142857142857144,22
64,0.9285714285714286,22
65,0.9571428571428571,20
66,0.9428571428571428,18
67,0.9857142857142858,17
68,1.0,11
69,0.9714285714285715,10
70,0.0,6
