,Unique_Values,Value_Counts
0,OTHER,7070
1,107106,2953
2,92675,2684
3,83575,1744
4,11631,1702
5,11817,1590
6,98656,1451
7,91925,1365
8,52976,1354
9,83788,1345
10,91908,1333
11,103765,1226
12,99722,1224
13,91889,1175
14,103591,1140
15,55238,1122
16,103611,1103
17,99731,1083
18,50576,973
19,81410,954
20,75660,934
21,102661,931
22,93855,921
23,91907,901
24,102353,889
25,11447,854
26,86845,840
27,75636,838
28,102400,837
29,98663,833
30,89996,814
31,56108,793
32,95177,781
33,116141,764
34,62601,762
35,85892,743
36,83200,717
37,102676,688
38,75659,679
39,102951,676
40,91893,665
41,93854,655
42,116222,646
43,86206,644
44,11591,644
45,108891,632
46,103559,614
47,81408,590
48,12104,579
49,55390,574
50,11804,572
51,103785,570
52,12027,568
53,106678,564
54,102366,557
55,103749,540
56,102399,538
57,108895,532
58,99771,530
59,102291,527
60,9754,525
61,106713,524
62,12198,521
63,103596,520
64,103761,516
65,106719,516
66,74876,511
67,106668,510
68,98667,508
69,116945,505
70,108890,503
71,81698,501
72,103757,494
73,102371,485
74,99822,482
75,11106,465
76,116221,462
77,108892,461
78,10164,461
79,99725,441
80,98660,439
81,9765,439
82,86124,438
83,102401,431
84,116904,428
85,103767,427
86,54335,424
87,103536,417
88,106745,414
89,102955,408
90,114273,405
91,116893,400
92,50778,399
93,11680,398
94,103782,394
95,102348,391
96,93478,389
97,56151,389
98,102331,385
99,106718,384
100,11168,372
101,9041,369
102,108877,360
103,8663,357
104,11448,357
105,11120,354
106,116890,347
107,10799,347
108,12317,343
109,93870,343
110,98661,342
111,81082,340
112,50679,333
113,93860,330
114,86209,330
115,102673,327
116,102678,325
117,116220,324
118,95800,322
119,103787,313
120,99734,313
121,10732,309
122,12017,308
123,105627,308
124,106317,307
125,89907,307
126,75653,307
127,10417,307
128,102672,306
129,106691,304
130,75105,304
131,103754,304
132,76156,303
133,80411,298
134,93256,298
135,98665,298
136,103588,286
137,83574,286
138,92445,285
139,11247,285
140,75647,284
141,11182,279
142,82917,279
143,99753,274
144,10327,272
145,102940,266
146,86201,266
147,108883,265
148,116209,263
149,12202,263
150,10801,261
151,103720,260
152,10739,259
153,99798,258
154,106712,257
155,12208,257
156,106726,254
157,91202,253
158,116947,252
159,9996,252
160,105620,251
161,103590,248
162,105619,246
163,103758,243
164,50297,242
165,103524,239
166,106681,238
167,76157,238
168,83205,237
169,103780,235
170,102409,232
171,105623,229
172,116234,224
173,51643,224
174,12011,224
175,95151,224
176,110929,223
177,116909,223
178,102949,222
179,82861,220
180,102959,217
181,103764,210
182,50678,209
183,8847,208
184,102682,208
185,74873,208
186,11611,207
187,8975,206
188,126574,202
189,93863,202
190,98638,201
191,108899,197
192,126478,194
193,103549,192
194,108898,192
195,116948,191
196,126514,190
197,99878,189
198,108610,189
199,11693,187
200,99724,187
201,116944,187
202,116899,186
203,10804,185
204,12141,182
205,102933,181
206,11609,179
207,102370,179
208,96733,176
209,86212,175
210,102335,175
211,11429,174
212,126474,174
213,12261,174
214,86199,173
215,99774,173
216,10067,170
217,99726,170
218,11318,170
219,11177,170
220,103538,170
221,51578,169
222,121447,168
223,116113,168
224,103783,168
225,103551,166
226,103771,162
227,51415,162
228,102365,162
229,106698,160
230,99792,160
231,126566,158
232,102950,157
233,116933,157
234,11903,155
235,11124,155
236,103781,155
237,104744,153
238,103751,153
239,12204,152
