,Unique_Values,Value_Counts
0,11610.0,15850
1,11756.0,14677
2,8949.0,9996
3,86124.0,9807
4,10739.0,8707
5,11312.0,7214
6,8662.0,6498
7,10132.0,5786
8,8695.0,5596
9,11689.0,4015
10,11826.0,3803
11,11596.0,3790
12,8835.0,3727
13,10251.0,3159
14,11612.0,2936
15,11401.0,2505
16,9021.0,2264
17,10166.0,2179
18,86201.0,2075
19,8773.0,2045
20,8022.0,1957
21,8311.0,1916
22,9965.0,1665
23,10402.0,1660
24,10591.0,1628
25,8237.0,1496
26,11359.0,1457
27,10060.0,1454
28,12283.0,1419
29,86199.0,1101
30,9375.0,988
31,8180.0,952
32,7358.0,928
33,6620.0,873
34,9600.0,862
35,8971.0,818
36,10534.0,818
37,OTHER,667
38,10965.0,533
39,9724.0,518
40,8940.0,471
41,9022.0,469
42,10548.0,452
43,7445.0,452
44,9970.0,416
45,8830.0,411
46,10845.0,387
47,8740.0,340
48,9012.0,333
49,7998.0,319
50,9034.0,293
51,1317.0,278
52,11295.0,260
53,10578.0,250
54,10502.0,238
55,11185.0,224
56,11105.0,178
57,11613.0,169
58,54108.0,168
59,8765.0,167
60,9303.0,157
61,10948.0,147
62,8488.0,145
63,9378.0,141
64,10800.0,125
65,9359.0,122
66,8718.0,122
67,8195.0,121
68,8824.0,113
69,8954.0,113
70,11256.0,112
71,8656.0,107
72,10421.0,96
73,11434.0,87
74,11960.0,86
75,11947.0,73
76,74877.0,73
77,10030.0,71
78,10259.0,70
79,11592.0,60
80,10597.0,59
81,8721.0,57
82,9761.0,57
83,7467.0,50
84,7329.0,49
85,10090.0,48
86,11707.0,48
87,10533.0,45
88,10305.0,44
89,95185.0,44
90,10537.0,43
91,9774.0,40
92,9040.0,40
93,8645.0,39
94,12138.0,38
95,8363.0,35
96,11738.0,34
97,7324.0,32
98,8312.0,32
99,7344.0,30
100,9805.0,29
101,9369.0,28
102,9266.0,27
103,8850.0,27
104,10511.0,27
105,9342.0,27
106,1083.0,25
