,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103278
1,MA,42865
2,New Hampshire,537
3,New York,492
4,Rhode Island,385
5,Florida,291
6,Connecticut,236
7,Maine,235
8,New Jersey,228
9,Pennsylvania,211
10,Virginia,155
11,Maryland,115
12,Ohio,72
13,Georgia,63
14,Tennessee,59
15,Vermont,55
16,Illinois,49
17,North Carolina,48
18,Michigan,47
19,Arizona,46
20,Texas,35
21,Nebraska,30
22,Alabama,30
23,South Carolina,30
24,California,27
25,Indiana,24
26,Oregon,24
27,Louisiana,22
28,Oklahoma,18
29,Montana,16
30,Nevada,15
31,Colorado,10
32,Kentucky,9
33,Wisconsin,8
34,Delaware,8
35,Minnesota,7
36,Missouri,7
37,Washington,6
38,Iowa,3
39,Alaska,3
40,New Mexico,2
41,Idaho,2
42,Arkansas,2
43,Kansas,1
44,Hawaii,1
45,Wyoming,1
46,Utah,1
