,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103278
1,HONDA,7652
2,NISSAN,4734
3,TOYOTA,4148
4,FORD,4119
5,CHEVROLET,3550
6,ACURA,2815
7,DODGE,2525
8,BMW,1450
9,INFINITI,1390
10,VOLKSWAGEN,1074
11,HYUNDAI,1072
12,CHRYSLER,1014
13,MERCEDES BENZ,966
14,CADILLAC,904
15,LEXUS,869
16,JEEP,862
17,AUDI,783
18,MAZDA,686
19,MITSUBISHI,619
20,MERCURY,613
21,BUICK,555
22,PONTIAC,522
23,LINCOLN,519
24,VOLVO,492
25,KIA,484
26,GMC,331
27,SATURN,306
28,OLDSMOBILE,275
29,SUBARU,233
30,SAAB,209
31,OTHER,164
32,JAGUAR,118
33,PLYMOUTH,84
34,SUZUKI,70
35,GEO,57
36,YAMAHA,49
37,ISUZU,47
38,FERRARI,44
39,LAND ROVER,44
40,HARLEY DAVIDSON,36
41,PORSCHE,25
42,LAMBORGHINI,8
43,HUMMER,7
44,ALFA ROMEO,4
45,EAGLE,2
46,LOTUS,1
