,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103278
1,2000.0,3787
2,2002.0,3244
3,1999.0,3161
4,2003.0,3107
5,2001.0,3087
6,2004.0,2671
7,1998.0,2640
8,2005.0,2323
9,2006.0,2206
10,1997.0,2200
11,2013.0,1792
12,2007.0,1700
13,2011.0,1595
14,1996.0,1525
15,2008.0,1519
16,2012.0,1504
17,2010.0,1428
18,2014.0,1359
19,1995.0,1229
20,1994.0,1063
21,2009.0,1031
22,1993.0,730
23,1992.0,465
24,2015.0,346
25,1991.0,304
26,1990.0,186
27,1989.0,88
28,1988.0,67
29,1987.0,41
30,1980.0,32
31,1986.0,32
32,1984.0,19
33,1985.0,9
34,1982.0,8
35,1983.0,7
36,1981.0,7
37,1979.0,5
38,1965.0,3
39,1975.0,3
40,1960.0,1
41,1973.0,1
42,1978.0,1
43,1967.0,1
44,1977.0,1
45,1955.0,1
46,1972.0,1
47,1959.0,1
