,Unique_Values,Value_Counts
0,2012-03-22,212
1,2014-04-24,206
2,2014-04-25,205
3,2011-02-18,203
4,2011-07-04,198
5,2012-03-08,195
6,2012-09-21,191
7,2014-06-10,190
8,2012-05-25,189
9,2012-03-07,187
10,2011-05-26,187
11,2012-03-23,184
12,2012-05-18,184
13,2012-02-22,184
14,2012-03-12,182
15,2014-05-16,182
16,2013-09-14,181
17,2012-03-13,180
18,2014-06-11,180
19,2014-05-22,178
20,2014-09-03,177
21,2012-03-21,173
22,2012-02-25,173
23,2012-04-30,172
24,2014-05-21,171
25,2014-05-15,171
26,2012-05-13,170
27,2012-03-19,170
28,2013-09-26,170
29,2012-05-30,169
30,2014-05-23,169
31,2012-03-20,168
32,2011-04-28,168
33,2012-06-11,168
34,2012-05-12,167
35,2011-05-24,166
36,2012-04-04,166
37,2012-09-13,163
38,2012-02-23,162
39,2012-10-02,161
40,2014-06-09,160
41,2014-05-17,160
42,2014-08-08,159
43,2012-03-09,159
44,2013-09-10,158
45,2013-04-09,158
46,2013-08-29,158
47,2011-05-31,157
48,2013-08-03,157
49,2014-05-09,157
50,2012-10-23,157
51,2014-05-29,156
52,2014-04-22,156
53,2012-04-14,156
54,2014-08-17,156
55,2011-05-28,155
56,2011-05-09,155
57,2014-09-08,155
58,2013-08-08,155
59,2012-05-23,154
60,2012-05-28,154
61,2011-05-27,154
62,2012-06-12,154
63,2012-04-10,154
64,2013-03-29,153
65,2012-01-25,153
66,2012-05-31,153
67,2012-04-06,152
68,2013-05-07,152
69,2012-04-19,152
70,2011-06-03,152
71,2012-05-17,152
72,2013-12-28,151
73,2011-10-24,151
74,2013-05-31,151
75,2013-09-25,151
76,2014-05-08,151
77,2012-01-24,151
78,2013-09-20,150
79,2013-08-28,150
80,2014-07-21,150
81,2012-09-11,149
82,2012-02-27,149
83,2014-10-09,149
84,2011-02-17,148
85,2012-06-15,148
86,2013-04-08,148
87,2014-06-17,148
88,2014-07-15,148
89,2011-11-29,147
90,2012-04-28,147
91,2012-03-06,146
92,2014-05-06,146
93,2012-03-05,146
94,2011-03-02,146
95,2013-07-16,146
96,2011-05-04,146
97,2012-06-27,145
98,2012-09-12,145
99,2012-04-11,144
100,2012-02-17,144
101,2011-04-30,144
102,2011-04-27,144
103,2014-06-14,144
104,2011-02-16,144
105,2012-06-22,144
106,2014-05-07,144
107,2012-05-24,143
108,2011-06-27,143
109,2013-08-23,143
110,2012-01-13,142
111,2012-02-28,142
112,2011-05-25,142
113,2013-09-03,141
114,2012-02-20,141
115,2011-05-13,141
116,2012-10-27,141
117,2012-06-19,141
118,2012-06-26,140
119,2012-02-15,140
120,2014-08-07,140
121,2014-03-03,140
122,2012-10-20,140
123,2011-10-03,140
124,2012-10-04,139
125,2012-04-24,139
126,2012-07-21,139
127,2012-01-23,139
128,2011-10-06,139
129,2013-09-11,139
130,2014-07-08,139
131,2011-04-14,139
132,2013-10-08,139
133,2013-08-21,139
134,2011-08-05,139
135,2011-05-30,138
136,2012-04-20,138
137,2011-05-03,138
138,2014-09-17,138
139,2014-08-02,137
140,2011-10-17,137
141,2013-02-21,137
142,2012-04-18,137
143,2012-07-03,137
144,2011-09-16,137
145,2014-09-05,137
146,2014-07-24,137
147,2013-09-06,137
148,2012-04-09,137
149,2013-05-30,136
150,2012-04-07,136
151,2011-06-06,136
152,2011-09-08,136
153,2011-04-09,136
154,2012-05-14,136
155,2014-02-22,135
156,2011-04-29,135
157,2013-08-10,135
158,2011-05-20,135
159,2013-08-01,135
160,2012-04-13,135
161,2011-09-09,135
162,2012-01-06,135
163,2013-04-01,135
164,2013-04-13,135
165,2012-06-14,135
166,2014-04-19,135
167,2013-08-13,134
168,2013-10-04,134
169,2013-07-04,134
170,2013-04-11,134
171,2014-08-09,134
172,2011-04-20,134
173,2013-09-07,134
174,2012-05-06,134
175,2014-10-03,134
176,2012-01-26,134
177,2012-02-26,134
178,2014-07-06,133
179,2014-01-16,133
180,2011-05-02,133
181,2012-09-07,133
182,2013-06-30,133
183,2012-04-17,133
184,2014-10-08,133
185,2012-07-04,133
186,2014-08-27,133
187,2012-02-18,132
188,2012-01-28,132
189,2014-08-20,132
190,2014-05-31,132
191,2013-08-27,132
192,2012-02-03,132
193,2014-10-06,132
194,2013-02-26,132
195,2012-05-29,132
196,2012-06-20,132
197,2014-07-22,132
198,2011-04-15,132
199,2012-04-27,132
200,2014-07-25,131
201,2012-09-27,131
202,2012-10-01,131
203,2011-05-19,131
204,2012-02-24,131
205,2013-03-13,131
206,2012-04-21,131
207,2011-08-24,131
208,2012-01-30,130
209,2012-06-29,130
210,2014-07-03,130
211,2013-09-24,130
212,2011-06-29,130
213,2014-03-08,130
214,2013-05-23,130
215,2011-12-01,130
216,2013-05-21,129
217,2011-08-03,129
218,2013-03-30,129
219,2014-05-10,129
220,2012-06-01,129
221,2013-08-31,129
222,2011-04-08,129
223,2013-09-12,129
224,2011-03-15,129
225,2012-03-28,128
226,2014-09-30,128
227,2012-05-16,128
228,2014-10-21,128
229,2014-05-02,128
230,2013-01-14,128
231,2013-10-10,128
232,2012-07-11,127
233,2011-07-01,127
234,2014-07-29,127
235,2014-05-20,127
236,2012-08-24,127
237,2013-07-30,127
238,2014-04-14,127
239,2013-07-24,127
240,2013-09-19,127
241,2011-03-16,127
242,2013-07-27,127
243,2012-02-09,127
244,2014-05-05,127
