,Unique_Values,Value_Counts
0,"INVESTIGATE, PERSON",92746
1,VAL,21270
2,TRESPASSING,4718
3,"DRUGS, INVESTIGATION",3562
4,"INVESTIGATE, MV",3511
5,WARRANT ARREST,2389
6,DISTURBANCE,2042
7,PUBLIC DRINKING,2003
8,"PROSTITUTION, COMMON NIGHT WALKER",1602
9,"LARCENY, SHOPLIFTING",1357
10,"DRUGS, CONSPIRACY",1086
11,GUNSHOTS,875
12,"INVESTIGATE, PREMISES",852
13,AFFRAY,785
14,PANHANDLING,731
15,"ALCOHOL, PUBLIC DRINKING",610
16,A&B,572
17,"DRUGS, POSSESSION",528
18,LOUD PARTY,396
19,"CITY ORDINANCE OTHER,",353
20,"B&E, MV",349
21,DISPUTE,338
22,"209A, A&B",319
23,DISORDERLY,300
24,"DRUGS, SALE",288
25,"FIREARM, DISCHARGING",276
26,"PROSTITUTION, SEX FOR FEE",255
27,"FIREARM, POSSESSION",244
28,VANDALISM,221
29,"FIREARM, CARRYING",219
30,ABDW,209
31,"ROBBERY, ARMED PERSON",197
32,"209A, VERBAL DISPUTE",192
33,"B&E, RESIDENCE - DAY",191
34,INJURED PERSON,178
35,MV ACCIDENT,178
36,"B&E, RESIDENCE - NIGHT",170
37,STOLEN MV,155
38,THREATS,150
39,"ROBBERY, UNARMED PERSON",124
40,"A D, W",122
41,"LARCENY, PERSON",120
42,"INVESTIGATE, PROPERTY",111
43,"DISTURBING, PEACE",106
44,"LARCENY, OVER",103
45,SICK ASSIST,97
46,"DISORDERLY, NOISYHOUSE",96
47,"B&E, NON-RESIDENCE - DAY",90
48,"DRUGS, FOUND",88
49,"DRUGS, OVERDOSE",82
50,SEARCH WARRANT EXECUTED,82
51,OVERDOSE,80
52,ASSAULT,75
53,"B&E, NON-RESIDENCE - NIGHT",74
54,"209A, VIO RESTRAINING ORDER",74
55,"OPEN & GROSS ,  UNNATURAL & LACIVIOUS",70
56,"LARCENY, BIKE",61
57,INDECENT EXPOSURE,58
58,"WARRANTS, SEARCH",57
59,HARASSMENT,54
60,"OUI, ALCOHOL",51
61,ATTEMPTED B&E,49
62,HOME INVASION,49
63,ARREST WARRANT EXECUTION,44
64,"209A, WARRANT",44
65,"LARCENY, MV",41
66,"209A, ABDW",40
67,"LARCENY, FARE EVASION",36
68,"209A, ASSAULT",33
69,"LARCENY, UNDER",33
70,"LARCENY, BUILDING",33
71,"DANGEROUS WEAPON, POSSESSION",33
72,GRAFFITI,30
73,HOMICIDE,27
74,IMPERSONATING PO,27
75,"USING MV W, O AUTHORITY",25
76,VIO HAWKERS & PEDDLERS LAWS,24
77,"SEXUAL OFFENDER, KNOWN",22
78,"RECEIVING, MV",22
79,"ALCOHOL, MINOR",22
80,A&B PO,21
81,"LANDLORD, TENANT",21
82,MISSING PERSON,21
83,"DRUGS, TRAFFICKING",20
84,"EXPLOSIVES, BOMBS- FIREWORKS ETC",19
85,"209A, THREATS",19
86,"ARMED ASSAULT W, I TO ROB",18
87,"ROBBERY, ARMED COMMERCIAL",18
88,"SEX-ASSAULT, RAPE",17
89,VALET PARKING,17
90,DEATH INVESTIGATION,17
91,"LARCENY, SCHEME",17
92,"ROBBERY, ARMED COMMERCIAL BANK",17
93,MALICIOUS DESTRUCTION OF PROPERTY,16
94,SUICIDE,16
95,"LARCENY, PREMISES PERSONAL PROPERTY",15
96,"ROBBERY, UNARMED COMMERCIAL",15
97,"TOW M, V",14
98,KIDNAPPING,14
99,"LARCENY, FROM MV",14
100,"ROBBERY,ATTEMPT,UNARMED PERSON",13
101,"PROPERTY, STOLEN",13
