,Unique_Values,Value_Counts
0,938283,1
1,1048015,1
2,948994,1
3,1044468,1
4,1044469,1
5,1044470,1
6,1044471,1
7,874920,1
8,708955,1
9,1044708,1
10,949187,1
11,1044709,1
12,1044710,1
13,1044711,1
14,1044712,1
15,1044713,1
16,1048013,1
17,948993,1
18,948992,1
19,948991,1
20,877746,1
21,965432,1
22,1044463,1
23,1044464,1
24,1044465,1
25,1044466,1
26,877719,1
27,1044467,1
28,948990,1
29,923084,1
30,923085,1
31,923086,1
32,923087,1
33,923088,1
34,948989,1
35,1048014,1
36,1048016,1
37,954790,1
38,1048017,1
39,958940,1
40,958941,1
41,1044758,1
42,890104,1
43,890105,1
44,890108,1
45,894077,1
46,866739,1
47,960138,1
48,960176,1
49,960177,1
50,960178,1
51,960179,1
52,965938,1
53,965939,1
54,958939,1
55,958938,1
56,957507,1
57,1048018,1
58,949962,1
59,1044714,1
60,949963,1
61,949991,1
62,949992,1
63,949993,1
64,949994,1
65,957506,1
66,1044715,1
67,1044755,1
68,1044756,1
69,1044757,1
70,958937,1
71,957505,1
72,965431,1
73,965430,1
74,965429,1
75,949961,1
76,1044458,1
77,1044459,1
78,1044476,1
79,1044477,1
80,1044460,1
81,946596,1
82,946597,1
83,946598,1
84,946599,1
85,946600,1
86,1044472,1
87,1044473,1
88,1044474,1
89,1044461,1
90,1044462,1
91,873587,1
92,873586,1
93,873529,1
94,949922,1
95,954792,1
96,1044453,1
97,1044454,1
98,1044455,1
99,1044456,1
100,1044457,1
101,894721,1
102,949954,1
103,894513,1
104,893790,1
105,949923,1
106,949924,1
107,949952,1
108,949953,1
109,949955,1
110,949956,1
111,949957,1
112,878274,1
113,1044838,1
114,1044839,1
115,1044840,1
116,1044841,1
117,1044842,1
118,878273,1
119,1044843,1
120,701453,1
121,777535,1
122,1044844,1
123,777516,1
124,1044845,1
125,1044846,1
126,1044885,1
127,1044837,1
128,1048045,1
129,949958,1
130,1044798,1
131,949959,1
132,949960,1
133,893538,1
134,1048039,1
135,1044796,1
136,1044797,1
137,1044799,1
138,1048044,1
139,1044800,1
140,1044836,1
141,1048040,1
142,1048041,1
143,1048042,1
144,1048043,1
145,965977,1
146,1048036,1
147,1048037,1
148,1044896,1
149,959008,1
150,959009,1
151,959010,1
152,959038,1
153,959145,1
154,959146,1
155,959147,1
156,958945,1
157,958973,1
158,959139,1
159,959140,1
160,959141,1
161,959142,1
162,959143,1
163,959144,1
164,945767,1
165,945738,1
166,945737,1
167,948753,1
168,954490,1
169,954525,1
170,954513,1
171,954430,1
172,949699,1
173,949700,1
174,948754,1
175,945736,1
176,948755,1
177,948770,1
178,948771,1
179,871207,1
180,945734,1
181,945735,1
182,948722,1
183,948723,1
184,948724,1
185,1041248,1
186,1044948,1
187,1044949,1
188,1044950,1
189,879695,1
190,1041246,1
191,1041247,1
192,1044951,1
193,948796,1
194,1041249,1
195,1041250,1
196,1041302,1
197,1044952,1
198,1044953,1
199,778824,1
200,1044947,1
201,948795,1
202,948725,1
203,973111,1
204,948726,1
205,869595,1
206,869895,1
207,973108,1
208,973109,1
209,973110,1
210,973112,1
211,948794,1
212,870327,1
213,973113,1
214,948733,1
215,884903,1
216,884904,1
217,884905,1
218,1044946,1
219,1044895,1
220,1048038,1
221,1044894,1
222,704273,1
223,971219,1
224,971244,1
225,971245,1
226,971246,1
227,958682,1
228,958683,1
229,958684,1
230,958563,1
231,958564,1
232,958565,1
233,944833,1
234,944834,1
235,709501,1
236,709691,1
237,704233,1
238,870377,1
239,941162,1
240,1048133,1
241,1044795,1
242,868975,1
243,1048046,1
244,1048074,1
245,1048075,1
246,869541,1
247,1047996,1
248,941161,1
249,1048021,1
250,941157,1
251,1048047,1
252,941158,1
253,941159,1
254,941160,1
255,970894,1
256,949995,1
257,949996,1
258,1048124,1
259,1048083,1
260,1048084,1
261,1044892,1
262,1048122,1
263,712358,1
264,1048123,1
265,1048125,1
266,1048081,1
267,1048126,1
268,1048127,1
269,1048128,1
270,1048129,1
271,1048130,1
272,1044893,1
273,1048082,1
274,1048080,1
275,1048076,1
276,948684,1
277,1048077,1
278,1048078,1
279,1044886,1
280,1048079,1
281,948682,1
282,948683,1
283,948685,1
284,1044891,1
285,948686,1
286,948687,1
287,1044888,1
288,1044889,1
289,1044890,1
290,948688,1
291,954791,1
292,954789,1
293,1048151,1
294,697105,1
295,1047969,1
296,1047970,1
297,878896,1
298,878897,1
299,878898,1
