,Unique_Values,Value_Counts
0,22,9151
1,21,8612
2,23,8592
3,20,8259
4,24,7547
5,19,7395
6,25,6846
7,26,6010
8,18,5973
9,27,5047
10,28,4578
11,17,4371
12,29,4217
13,30,4025
14,31,3527
15,32,3495
16,33,3153
17,34,2915
18,16,2889
19,35,2560
20,36,2360
21,37,2081
22,38,1937
23,39,1767
24,41,1743
25,42,1695
26,44,1693
27,15,1689
28,45,1675
29,40,1662
30,43,1652
31,46,1587
32,47,1524
33,48,1426
34,49,1422
35,51,1181
36,50,1163
37,52,1100
38,53,986
39,54,890
40,14,704
41,55,665
42,56,596
43,57,517
44,58,488
45,59,382
46,60,322
47,61,240
48,13,234
49,62,185
50,63,158
51,64,131
52,66,93
53,65,93
54,12,85
55,67,73
56,69,58
57,68,54
58,70,50
59,73,37
60,11,36
61,71,36
62,72,24
63,75,22
64,77,20
65,74,20
66,76,18
67,79,15
68,80,11
69,78,10
70,10,6
