,Unique_Values,Value_Counts
0,NH,3196
1,HISPANIC,1942
2,N/H,1778
3,CV,1386
4,BNH,1238
5,NON,1192
6,NON-HISPANIC,1187
7,NON HISPANIC,934
8,HISP,836
9,B/N,729
10,BLACK,617
11,WH,523
12,H,498
13,BH,479
14,W/H,418
15,AM,317
16,BN,294
17,NON-HISP,277
18,B/H,258
19,CAPE VERDEAN,255
20,WHITE,248
21,N,207
22,NONHISPANIC,202
23,W/N,197
24,BLK,158
25,B,145
26,UNK,142
27,BLACK HISPANIC,128
28,WNH,127
29,N-H,121
30,WHITE HISPANIC,111
31,PR,111
32,B N/H,85
33,BLACK NON HISPANIC,83
34,BLACK NON-HISPANIC,80
35,B-NON,77
36,WHT/H,75
37,UNKNOWN,73
38,HIS,69
39,HAITIAN,66
40,HISP.,65
41,PUERTO RICAN,65
42,W,64
43,BWH,59
44,C/V,58
45,DOMINICAN,57
46,BLK/H,54
47,NON/H,53
48,CAPE VERDIAN,52
49,NON HISP,50
50,B/N/H,44
51,DR,37
52,CAPE VERDE,37
53,AMERICAN,36
54,NON/HISP,35
55,HNW,33
56,USA,32
57,SOMALI,30
58,WN,28
59,EL SALVDORAN,28
60,DM,27
61,ASIAN,26
62,NON H,26
63,NON-HIS,25
64,NON HIS,25
65,SOMALIAN,25
66,BLK/HAIT,25
67,N - H,24
68,BLK/HISP,22
69,NON-H,20
70,AFRICAN,20
71,WHT/HISP,19
72,A,19
73,AMER,19
74,IRISH,19
75,ITALIAN,18
76,WHITE-HISPANIC,18
77,BLACK NONHISPANIC,17
78,C.V.,17
79,WHITE NON HISPANIC,16
80,NON- HISPANIC,16
81,B/W,16
82,AA,16
83,B NH,15
84,HATIAN,15
85,VIET,15
86,B-H,15
87,BN/H,14
88,WHITE/HISPANIC,14
89,B/NH,14
90,EL SALVADOR,14
91,WHTE/HISP,14
92,W/N/H,13
93,AFRICAN AMERICAN,13
94,GREEK,13
95,WHTE/H,12
96,RUSSIAN,12
97,DOM,12
98,BLK/HAITIAN,11
99,P.R.,11
100,NONHISP,11
101,VIETNAMESE,11
102,P.R,10
103,JAMAICAN,10
104,P,10
105,BL,10
106,W/HISP,10
107,MIDDLE EASTERN,9
108,BLACK/HISPANIC,9
109,C.V,9
110,WH/H,9
111,MEXICAN,9
112,BLACK NON- HISPANIC,9
113,SAMALI,8
114,WHITE NON-HISPANIC,8
115,PUERTORICAN,8
116,M,8
117,B/W/H,7
118,HONDURAN,7
119,SALVADOR,7
120,NON/HIS,7
121,ALBANIAN,7
122,W-H,7
123,COLOMBIAN,7
124,DOM REP,7
125,NONHIS,7
126,N H,7
127,WHT,6
128,BM,6
129,BLACK AND HISPANIC,6
130,SALVADORAN,6
131,COLUMBIAN,6
132,W/NH,6
133,BLK HAITIAN,6
134,N/M,6
135,PUERTO RICO,6
136,A/A,6
137,INDIAN,6
138,BRAZILIAN,6
139,AF,6
140,WHTE HISP,6
141,B  N/H,5
142,HAITI,5
143,BLACK NON,5
144,ME,5
145,BLACK/WHITE,5
146,EL SALVADORAN,5
147,NON-HISP.,5
148,MED,5
149,BW,5
150,BRAZIL,5
151,SM,5
152,WHTE/HISP.,5
153,M/E,5
154,BNON,5
155,HS,5
156,NON/HISPANIC,4
157,GUATAMALEN,4
158,BLK/ HAITIAN,4
159,UNK.,4
160,C V,4
161,BLK/ HAIT,4
162,B/NON HISP,4
163,NON HIS.,4
164,NONH,4
165,CAPEVERDIAN,4
166,B NON,4
167,W/HISPANIC,4
168,HISPANICE,4
169,HT,4
170,HI,4
171,BLK HISP,4
172,CAUCASION,4
173,AFRO,4
174,CAPE V,4
175,SPANISH,4
176,LIGHT,4
177,NON/HISP.,4
178,UN,4
179,CAPEVERDEAN,4
180,N- H,4
181,TURKISH,4
182,CAUC,4
183,WHTE  HISP,4
184,N/N,4
185,N/HISP,4
186,VT,3
187,GUATEMALA,3
188,W N/H,3
189,ELSALVADOR,3
190,WHISP,3
191,CAPE VERD,3
192,ETHIOPIAN,3
193,ARABIC,3
194,P/R,3
195,BLK  HISP,3
196,W-HISP,3
197,B-N-H,3
198,NONE HISPANIC,3
199,MORROCCAN,3
200,TRINIDAD,3
201,DOMINICAN REPUBLIC,3
202,HAITAN,3
203,BLACK-HISPANIC,3
204,SOM,3
205,D,3
206, NON-HISPANIC,3
207,VIETNAM,3
208,HAIT,3
209,BLACK-NON,3
210,CU,3
211,HAITAIN,3
212,DK,3
213,HBP,3
214,LATINO,3
215,EL SALV,3
216,B/HAITIAN,3
217,HIPANIC,3
218,CHINESE,3
219,B/HAIT,3
220,JAMACIAN,3
221,JAMACIA,3
222,CAVERDIAN,3
223,0,3
224,SAMALIAN,3
225,BLACK NON HISP,3
226,B-M,2
227,NIT,2
228,C,2
229,BLACK & HISPANIC,2
230,HM,2
231,AF. AMERICAN,2
232,PHILIPINO,2
233,MEX,2
234,D.R.,2
235,MEDIUM,2
236,BLK/HISP.,2
237,BL/H,2
238,`,2
239,CUBAN,2
240,NON HISPANICQ,2
