,Unique_Values,Value_Counts
0,107106,2928
1,92675,2672
2,83575,1743
3,11631,1699
4,11817,1587
5,98656,1450
6,91925,1363
7,52976,1354
8,83788,1345
9,91908,1333
10,103765,1224
11,99722,1223
12,91889,1174
13,103591,1139
14,55238,1119
15,103611,1102
16,99731,1083
17,81410,954
18,50576,953
19,75660,934
20,102661,930
21,93855,919
22,91907,901
23,102353,889
24,11447,854
25,86845,840
26,75636,836
27,98663,830
28,102400,822
29,89996,814
30,56108,785
31,95177,777
32,116141,763
33,62601,762
34,85892,733
35,83200,715
36,102676,686
37,75659,678
38,102951,676
39,91893,663
40,93854,654
41,116222,645
42,11591,644
43,86206,643
44,108891,632
45,103559,614
46,81408,590
47,55390,574
48,12104,574
49,11804,572
50,12027,568
51,103785,566
52,106678,564
53,102366,557
54,103749,540
55,102399,537
56,108895,532
57,99771,530
58,9754,525
59,106713,524
60,12198,521
61,103596,520
62,102291,518
63,103761,515
64,106719,513
65,74876,510
66,98667,508
67,108890,503
68,116945,501
69,81698,500
70,106668,498
71,103757,486
72,102371,485
73,99822,478
74,11106,465
75,116221,461
76,108892,459
77,10164,457
78,99725,441
79,86124,438
80,98660,437
81,9765,429
82,116904,428
83,103767,425
84,102401,421
85,103536,415
86,54335,415
87,106745,411
88,102955,408
89,116893,400
90,114273,400
91,50778,399
92,11680,398
93,103782,394
94,93478,388
95,102348,388
96,102331,385
97,56151,384
98,106718,378
99,11168,371
100,9041,369
101,108877,360
102,11448,357
103,8663,357
104,11120,354
105,93870,343
106,116890,343
107,98661,342
108,10799,340
109,12317,337
110,81082,335
111,50679,332
112,86209,330
113,93860,330
114,102673,326
115,95800,322
116,102678,319
117,116220,319
118,99734,313
119,103787,313
120,105627,307
121,10732,306
122,102672,306
123,75653,306
124,10417,305
125,106317,305
126,103754,304
127,89907,304
128,75105,304
129,106691,303
130,12017,302
131,76156,299
132,93256,298
133,98665,297
134,80411,297
135,103588,286
136,83574,286
137,11247,285
138,92445,284
139,75647,283
140,99753,274
141,82917,274
142,10327,268
143,11182,267
144,86201,266
145,108883,265
146,102940,264
147,12202,263
148,116209,263
149,10801,260
150,10739,259
151,103720,259
152,106712,257
153,12208,257
154,99798,256
155,106726,253
156,91202,253
157,9996,252
158,105620,251
159,116947,249
160,103590,246
161,105619,242
162,50297,240
163,103758,239
164,106681,238
165,83205,237
166,103524,237
167,103780,235
168,76157,234
169,102409,229
170,105623,229
171,12011,224
172,51643,223
173,110929,223
174,116909,223
175,95151,222
176,116234,222
177,102949,220
178,82861,219
179,102959,217
180,103764,210
181,50678,209
182,11611,207
183,8975,206
184,74873,206
185,8847,206
186,102682,205
187,93863,202
188,98638,201
189,126574,196
190,108899,196
191,126478,194
192,103549,191
193,126514,190
194,116948,189
195,108898,189
196,108610,189
197,99878,189
198,116944,187
199,11693,187
200,10804,184
201,116899,183
202,99724,183
203,12141,180
204,102933,180
205,102370,179
206,86212,175
207,102335,175
208,11609,174
209,11429,174
210,126474,174
211,99774,173
212,12261,173
213,86199,172
214,99726,170
215,11177,170
216,11318,170
217,103783,168
218,51578,168
219,121447,168
220,96733,167
221,103538,167
222,10067,167
223,103551,166
224,116113,165
225,102365,162
226,103771,162
227,99792,160
228,51415,160
229,106698,160
230,126566,158
231,116933,157
232,11903,155
233,11124,155
234,102950,155
235,103781,155
236,104744,153
237,12204,152
238,103751,152
239,81364,149
240,81732,148
241,102957,147
242,81127,147
243,10124,146
244,103790,146
245,86175,145
246,102385,143
247,11816,143
248,98635,143
249,55789,142
250,103567,142
251,11821,142
252,116931,142
253,116210,142
254,99877,142
255,9726,142
256,95801,140
257,98653,140
258,10251,139
259,11899,138
260,76146,137
261,116224,137
262,120902,137
263,131212,137
264,116107,136
265,103537,136
266,103762,136
267,106724,136
268,10000,136
269,103746,136
270,102369,135
271,11361,134
272,11965,134
273,75645,133
274,99212,133
275,102938,133
276,99789,132
277,86783,131
278,102391,131
279,88741,131
280,95168,131
281,99715,131
282,108886,130
283,51404,130
284,12207,130
285,99755,130
286,102910,129
287,11053,129
288,9278,128
289,83204,128
290,106710,128
291,95135,126
292,126481,124
293,95173,123
294,99719,122
295,9778,122
296,105132,122
297,12232,122
298,12106,122
299,120925,122
300,103772,122
301,102350,121
302,99825,120
303,51000,120
304,11697,120
305,116199,120
306,76078,120
307,53805,120
308,116885,119
309,120930,119
310,12255,119
311,120928,119
312,12209,119
313,12257,118
314,75657,118
315,11819,118
316,81403,117
317,126548,116
318,87069,116
319,116235,115
320,108896,114
321,53987,114
322,12119,114
323,108894,114
324,51480,113
325,99790,113
326,9032,113
327,120897,113
328,102405,111
329,102384,110
330,119101,110
331,102680,110
332,126475,109
333,11951,108
334,108893,108
335,126561,108
336,102666,107
337,126521,107
338,11613,106
339,98657,106
340,12107,106
341,11618,105
342,126524,105
343,80943,104
344,103602,103
345,50308,102
346,93852,102
347,102345,101
348,102340,101
349,99776,101
350,103545,101
351,93828,101
352,12142,100
353,103903,100
354,10132,100
355,103598,100
356,116179,99
357,96710,98
358,96728,97
359,103760,97
360,116892,97
361,126562,97
362,102338,97
363,102934,97
364,12129,96
365,103579,96
366,108885,96
367,102383,96
368,103731,95
369,126477,95
370,53071,95
371,91711,95
372,98642,94
373,96697,94
374,98637,94
375,11612,93
376,126502,93
377,102290,92
378,51558,92
379,102349,92
380,11413,92
381,89182,91
382,75648,91
383,95798,90
384,80344,90
385,9718,90
386,96731,90
387,11690,90
388,11424,89
389,87213,89
390,131204,89
391,97285,89
392,116218,89
393,11476,88
394,12131,87
395,8953,87
396,51201,87
397,120912,87
398,99799,87
399,107289,86
400,12028,86
401,11428,86
402,74878,85
403,78213,85
404,10148,85
405,11689,84
406,11395,84
407,11210,83
408,120931,82
409,9615,82
410,90466,82
411,90495,82
412,86221,82
413,102936,81
414,103741,81
415,10558,81
416,103789,81
417,103779,80
418,98647,80
419,53603,80
420,8643,80
421,10510,80
422,120909,79
423,103514,79
424,11066,78
425,116896,78
426,103533,78
427,97720,77
428,102407,77
429,102403,77
430,56358,76
431,116172,76
432,116111,75
433,101129,75
434,99736,75
435,98750,75
436,98645,74
437,11946,74
438,11169,74
439,103525,74
440,99788,73
441,106311,73
442,9758,73
443,11319,73
444,103774,73
445,120924,73
446,120927,72
447,94734,72
448,10047,72
449,126493,71
450,10519,71
451,54014,71
452,102406,71
453,11715,70
454,10598,70
455,108878,70
456,12156,69
457,95226,68
458,97302,68
459,76342,67
460,8311,67
461,80401,67
462,75000,66
463,102662,66
464,11294,66
465,103552,66
466,126560,66
467,87199,66
468,100415,66
469,126500,66
470,108889,65
471,72751,65
472,120929,65
473,108887,65
474,116168,65
475,99769,64
476,11445,64
477,80420,64
478,11826,64
479,103759,64
480,10562,64
481,96288,64
482,108437,64
483,116891,64
484,103592,63
485,103668,63
486,11698,63
487,50219,63
488,11335,63
489,96730,63
490,116285,62
491,98643,62
492,116886,61
493,98633,61
494,106666,61
495,11716,61
496,81335,61
497,102668,61
498,8695,61
499,103561,60
500,51667,60
501,12210,60
502,11322,60
503,96053,59
504,108874,59
505,51633,59
506,102684,58
507,93797,58
508,11747,58
509,103752,58
510,102355,58
511,102329,58
512,88314,57
513,11418,57
514,11646,57
515,120945,57
516,116941,57
517,93867,56
518,103583,56
519,96668,56
520,8694,56
521,62253,56
522,11699,56
523,76945,56
524,11733,56
525,116170,56
526,11452,56
527,9698,55
528,83206,55
529,9282,55
530,8641,54
531,75742,54
532,102346,53
533,11200,53
534,126516,53
