,Unique_Values,Value_Counts
0,11756.0,14134
1,11610.0,13977
2,8949.0,9407
3,86124.0,9089
4,10739.0,8387
5,11312.0,6774
6,8662.0,6132
7,10132.0,5412
8,8695.0,5038
9,11689.0,3841
10,11826.0,3643
11,11596.0,3634
12,8835.0,2798
13,11612.0,2747
14,9021.0,2123
15,10166.0,2108
16,86201.0,1989
17,11401.0,1971
18,8022.0,1877
19,8773.0,1780
20,8311.0,1754
21,10591.0,1528
22,9965.0,1511
23,10402.0,1477
24,10060.0,1422
25,8237.0,1383
26,11359.0,1108
27,12283.0,1070
28,86199.0,1034
29,8180.0,921
30,6620.0,847
31,9600.0,823
32,8971.0,793
33,7358.0,750
34,9375.0,655
35,9724.0,492
36,10965.0,487
37,10548.0,444
38,10534.0,402
39,9970.0,397
40,8830.0,380
41,8940.0,329
42,8740.0,322
43,9012.0,317
44,10845.0,308
45,7998.0,305
46,10502.0,225
47,1317.0,220
48,11185.0,215
49,10578.0,213
50,11613.0,161
51,8765.0,157
52,9303.0,154
53,54108.0,148
54,8488.0,137
55,9378.0,133
56,10948.0,131
57,11105.0,131
58,10800.0,119
59,8718.0,116
60,8195.0,114
61,9359.0,114
62,8954.0,112
63,11256.0,108
64,8824.0,108
65,9022.0,105
66,8656.0,95
67,11434.0,78
68,10251.0,76
69,11960.0,70
70,10030.0,69
71,74877.0,65
72,10421.0,64
73,10259.0,59
74,10597.0,55
75,9761.0,54
76,10090.0,48
77,7467.0,48
78,10533.0,44
79,11707.0,44
80,11947.0,43
81,10305.0,43
82,10537.0,38
83,12138.0,38
84,9040.0,37
85,9774.0,36
86,7329.0,35
87,8363.0,34
88,95185.0,32
89,8312.0,31
90,7324.0,30
91,11738.0,28
92,9266.0,26
93,8850.0,26
94,10511.0,26
95,9369.0,25
96,7344.0,24
97,9342.0,24
98,10133.0,23
99,9805.0,22
100,10177.0,21
101,11267.0,21
102,11744.0,20
103,8890.0,19
104,11173.0,18
105,9760.0,18
106,10708.0,18
107,10273.0,16
108,10128.0,16
109,12235.0,16
110,1083.0,16
111,11425.0,16
112,7445.0,16
113,8865.0,14
114,9371.0,14
115,11683.0,14
116,74887.0,14
117,11592.0,13
118,11931.0,11
119,11340.0,11
120,9034.0,11
121,8204.0,10
122,11354.0,10
123,11620.0,10
124,10600.0,9
125,8784.0,9
126,11708.0,8
127,12114.0,8
128,9035.0,7
129,6652.0,7
130,10519.0,7
131,8845.0,7
132,8943.0,7
133,9771.0,7
134,8368.0,7
135,8358.0,7
136,7435.0,6
137,11669.0,6
138,8944.0,6
139,11088.0,6
140,8947.0,6
141,10451.0,6
142,10560.0,5
143,8721.0,5
144,10531.0,5
145,8640.0,5
146,9039.0,4
147,11169.0,4
148,12255.0,4
149,11295.0,4
150,8005.0,3
151,6908.0,3
152,10727.0,3
153,8489.0,3
154,8697.0,3
155,8258.0,3
156,8960.0,3
157,8689.0,3
158,8734.0,3
159,11332.0,3
160,8639.0,3
161,8469.0,3
162,8707.0,3
163,8838.0,2
164,9966.0,2
165,11478.0,2
166,11521.0,2
167,8855.0,2
168,9593.0,2
169,7350.0,2
170,11621.0,2
171,10586.0,2
172,11429.0,2
173,7461.0,2
174,8888.0,2
175,8614.0,2
176,8857.0,2
177,8261.0,2
178,8834.0,2
179,9389.0,2
180,9777.0,2
181,8645.0,2
182,10743.0,2
183,8864.0,1
184,9352.0,1
185,80410.0,1
186,9015.0,1
187,10415.0,1
188,9343.0,1
189,10530.0,1
190,9675.0,1
191,8196.0,1
192,11406.0,1
193,9278.0,1
194,9561.0,1
195,8238.0,1
196,9736.0,1
197,11055.0,1
198,9764.0,1
199,8837.0,1
200,8364.0,1
201,6187.0,1
202,8188.0,1
203,7916.0,1
204,9757.0,1
205,6127.0,1
206,6919.0,1
207,2277.0,1
208,10092.0,1
209,10543.0,1
210,7895.0,1
211,1223.0,1
212,6234.0,1
213,10722.0,1
214,8840.0,1
215,9024.0,1
216,9983.0,1
217,6487.0,1
