,Unique_Values,Value_Counts
0,"BLACK JACKET, BLUE JEANS",1598
1,"WHITE T-SHIRT, BLUE JEANS",1229
2,"BLACK HOODIE, BLUE JEANS",1031
3,"BLACK SHIRT, BLUE JEANS",729
4,"GREY HOODIE, BLUE JEANS",667
5,"BLACK T-SHIRT, BLUE JEANS",626
6,"BLACK COAT, BLUE JEANS",510
7,"WHITE SHIRT, BLUE JEANS",434
8,BLACK JACKET BLUE JEANS,381
9,"BLUE SHIRT, BLUE JEANS",359
10,"BLUE HOODIE, BLUE JEANS",352
11,"BLACK JACKET, BLACK PANTS",300
12,"BLACK HOODIE, BLACK JEANS",291
13,"BLACK JACKET, JEANS",291
14,UNKNOWN,284
15,"RED SHIRT, BLUE JEANS",273
16,"WHITE T-SHIRT, BLACK SHORTS",271
17,"BLACK JACKET, BLACK JEANS",263
18,"WHITE T, BLUE JEANS",262
19,BLACK JACKET,260
20,"BLUE JACKET, BLUE JEANS",259
21,"WHITE T-SHIRT, JEANS",257
22,"BLACK SHIRT, BLACK PANTS",257
23,WHITE T-SHIRT,242
24,ALL BLACK,230
25,"GREY SWEATSHIRT, BLUE JEANS",230
26,"GREY SHIRT, BLUE JEANS",227
27,"BLACK SWEATSHIRT, BLUE JEANS",214
28,"BLUE JEANS, BLACK JACKET",209
29,"RED HOODIE, BLUE JEANS",206
30,"BLACK HOODIE, JEANS",197
31,"GRAY HOODIE, BLUE JEANS",195
32,BLACK HOODIE,177
33,"BROWN JACKET, BLUE JEANS",175
34,"WHITE T-SHIRT, BLACK JEANS",174
35,"GREY T-SHIRT, BLUE JEANS",172
36,"BLACK SHIRT, BLACK JEANS",162
37,"BLACK SHIRT, JEANS",160
38,"GREY JACKET, BLUE JEANS",159
39,"BLUE T-SHIRT, BLUE JEANS",157
40,"BLACK T-SHIRT, JEANS",157
41,"BLACK HOODIE, BLACK PANTS",156
42,"BLACK HAT, BLACK JACKET, BLUE JEANS",145
43,"GREY HOODIE, JEANS",143
44,BLACK T-SHIRT,138
45,"WHITE T-SHIRT, BLACK PANTS",137
46,"BLACK HOODIE, BLUE JEANS, BLACK SNEAKERS",135
47,GREY HOODIE,134
48,"BLACK T-SHIRT, BLACK JEANS",133
49,BLUE JEANS,127
50,"WHITE T-SHIRT, BLUE JEANS, WHITE SNEAKERS",115
51,"WHITE T-SHIRT, BLUE SHORTS",113
52,"BLUE SWEATSHIRT, BLUE JEANS",112
53,"WHITE TANK TOP, BLUE JEANS",110
54,"BLACK T-SHIRT, BLACK SHORTS",107
55,"GREY HOODIE, BLACK JEANS",107
56,"BLACK JACKET, BLUE JEANS, BLACK SNEAKERS",105
57,"RED JACKET, BLUE JEANS",105
58,"BLACK COAT, BLACK PANTS",103
59,BLACK HOODIE BLUE JEANS,102
60,"BLACK COAT, JEANS",100
61,"WHITE SHIRT, BLACK PANTS",100
62,"WHITE T-SHIRT, BLUE JEANS, BLACK SNEAKERS",99
63,"BLACK T, BLUE JEANS",99
64,"BLUE SHIRT, JEANS",99
65,"GREEN JACKET, BLUE JEANS",98
66,"BLUE HOODIE, JEANS",97
67,"RED T-SHIRT, BLUE JEANS",97
68,"BLACK COAT, BLACK JEANS",96
69,"WHITE SHIRT, JEANS",95
70,"WHITE T-SHIRT, TAN SHORTS",94
71,"BLACK T-SHIRT, BLACK PANTS",91
72,DARK CLOTHING,90
