,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103278
1,MA,38149
2,New Hampshire,489
3,New York,438
4,Rhode Island,337
5,Florida,259
6,Maine,213
7,Connecticut,205
8,New Jersey,197
9,Pennsylvania,189
10,Virginia,142
11,Maryland,103
12,Ohio,64
13,Georgia,57
14,Tennessee,51
15,Vermont,48
16,Arizona,44
17,Illinois,43
18,North Carolina,43
19,Michigan,41
20,Texas,31
21,South Carolina,29
22,Nebraska,28
23,Alabama,27
24,California,23
25,Oregon,21
26,Indiana,19
27,Louisiana,19
28,Montana,15
29,Oklahoma,15
30,Nevada,14
31,Colorado,10
32,Kentucky,9
33,Wisconsin,7
34,Minnesota,7
35,Missouri,7
36,Delaware,7
37,Washington,5
38,Alaska,3
39,Iowa,2
40,New Mexico,2
41,Idaho,2
42,Arkansas,2
43,Kansas,1
44,Hawaii,1
45,Wyoming,1
46,Utah,1
