,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103670
1,HONDA,6702
2,NISSAN,4177
3,TOYOTA,3640
4,FORD,3613
5,CHEVROLET,3133
6,ACURA,2490
7,DODGE,2205
8,BMW,1268
9,INFINITI,1215
10,VOLKSWAGEN,950
11,HYUNDAI,946
12,CHRYSLER,897
13,MERCEDES BENZ,856
14,CADILLAC,800
15,JEEP,757
16,LEXUS,757
17,AUDI,702
18,MAZDA,596
19,MITSUBISHI,548
20,MERCURY,529
21,BUICK,495
22,PONTIAC,474
23,LINCOLN,463
24,VOLVO,433
25,KIA,425
26,GMC,291
27,SATURN,259
28,OLDSMOBILE,239
29,SUBARU,203
30,SAAB,186
31,OTHER,143
32,JAGUAR,105
33,PLYMOUTH,74
34,SUZUKI,61
35,GEO,53
36,YAMAHA,45
37,FERRARI,38
38,ISUZU,38
39,LAND ROVER,38
40,HARLEY DAVIDSON,33
41,PORSCHE,24
42,LAMBORGHINI,7
43,HUMMER,6
44,ALFA ROMEO,4
45,EAGLE,2
46,LOTUS,1
