,Unique_Values,Value_Counts
0,NO VEHICLE INVOLVED,103670
1,4DR,8254
2,SEDAN,8042
3,4 DR,3322
4,SUV,2056
5,4 DOOR,1786
6,2DR,1025
7,VAN,1008
8,COUPE,981
9,UTIL,807
10,ACCORD,550
11,UTILITY,450
12,SED,433
13,2 DR,433
14,CIVIC,428
15,ALTIMA,337
16,PU,334
17,HATCH,330
18,CAMRY,271
19,2 DOOR,207
20,WAGON,206
21,MAXIMA,169
22,SCOOTER,147
23,MALIBU,140
24,EXPLORER,137
25,COROLLA,133
26,IMPALA,128
27,TAURUS,116
28,CHARGER,106
29,"P, U",104
30,MINIVAN,97
31,TRUCK,92
32,FUSION,80
33,4-DOOR,78
34,STWAG,75
35,STATION WAGON,74
36,4DOOR,70
37,PICK UP,70
38,G35,68
39,SW,68
40,ST WAG,68
41,MOPED,67
42,PASSAT,65
43,CARAVAN,60
44,PICKUP,58
45,JETTA,57
46,FOCUS,56
47,SENTRA,54
48,4,51
49,NEON,51
50,MAX,50
51,CHEROKEE,49
52,INTEGRA,47
53,S U V,45
54,SONATA,42
55,TL,42
56,300,41
57,DURANGO,41
58,GALANT,38
59,32TL,38
60,ESCAPE,38
61,MINI VAN,33
62,ELANTRA,32
63,TK,32
64,ES300,30
65,DEVILLE,29
66,ALT,28
67,CRV,28
68,A6,27
69,AVENGER,26
70,STRATUS,26
71,TAHOE,26
72,ACC,25
73,CAMERY,23
74,SEBRING,21
75,CONV,21
76,MAXI,20
77,AVALON,20
78,A4,20
79,HATCHBACK,20
80,COUP,20
81,STATIONWAGON,20
82,"P, UP",19
83,TSX,19
84,BLAZER,18
85,RAV 4,18
86,SEDN,18
87,EXPEDITION,18
88,F150,17
89,LIBERTY,17
90,JEEP,17
91,SEDAB,17
92,LS,17
93,PICK-UP,17
94,CAMARY,16
95,INTREPID,16
96,SABLE,16
97,DIRTBIKE,16
98,DIRT BIKE,16
99,EXP,16
100,GS300,16
101,PILOT,15
102,PT CRUISER,15
103,SDN,15
104,4D,15
105,MDX,15
106,ACCENT,14
107,4 DOORS,14
108,EXPED,14
109,MURANO,14
110,CONVT,14
111,MOTORCYCLE,13
112,WAG,13
113,ENVOY,13
114,SILVERADO,13
115,CAROLLA,13
116,LUMINA,13
117,CROWN VIC,13
118,MUSTANG,12
119,E350,12
120,32,12
121,I30,12
122,EDGE,12
123,LESABRE,12
124,328XI,12
125,CAVALIER,12
126,YUKON,12
127,CONVERTIBLE,12
128,ST WAGON,11
129,MOUNTAINEER,11
130,S80,11
131,SCION,11
132,TOWN CAR,11
133,WRANGLER,11
134,CAM,11
135,325I,11
136,E320,11
137,SIENNA,11
138,3 DR,10
139,EXPL,10
140,500,10
141,SEVILLE,10
142,328I,10
143,4 DOR,10
144,PROTEGE,10
145,200,10
146,C300,9
147,ACCORD SEDAN,9
148,"S, W",9
149,MARQ,9
150,OPTIMA,9
151,2-DOOR,9
152,TAXI,9
153,CRUZ,9
154,MAGNUM,9
155,525I,9
156,SWAG,9
157,GRAND CHEROKEE,9
158,DTS,9
159,C240,8
160,MC,8
161,325,8
162,BOX TRUCK,8
163,RAM,8
164,INTEG,8
165,CONTOUR,8
166,GRACHE,8
167,CENTURY,8
168,TERRAIN,8
169,STATION,8
170,STWG,8
171,ECLIPSE,8
172,YARIS,8
173,CTS,8
174,STWAGON,8
175,YTIL,8
176,RAV4,8
177,VERSA,8
178,ESCALADE,7
