,Unique_Values,Value_Counts
0,3/22/12 0:00,212
1,4/24/14 0:00,206
2,4/25/14 0:00,205
3,2/18/11 0:00,203
4,7/4/11 0:00,198
5,3/8/12 0:00,195
6,9/21/12 0:00,191
7,6/10/14 0:00,190
8,5/25/12 0:00,189
9,3/7/12 0:00,187
10,5/26/11 0:00,187
11,5/18/12 0:00,184
12,2/22/12 0:00,184
13,3/23/12 0:00,184
14,5/16/14 0:00,182
15,3/12/12 0:00,182
16,9/14/13 0:00,181
17,6/11/14 0:00,180
18,3/13/12 0:00,180
19,5/22/14 0:00,178
20,9/3/14 0:00,177
21,2/25/12 0:00,173
22,3/21/12 0:00,173
23,4/30/12 0:00,172
24,5/15/14 0:00,171
25,5/21/14 0:00,171
26,9/26/13 0:00,170
27,5/13/12 0:00,170
28,3/19/12 0:00,170
29,5/30/12 0:00,169
30,5/23/14 0:00,169
31,3/20/12 0:00,168
32,4/28/11 0:00,168
33,6/11/12 0:00,168
34,5/12/12 0:00,167
35,5/24/11 0:00,166
36,4/4/12 0:00,166
37,9/13/12 0:00,163
38,2/23/12 0:00,162
39,10/2/12 0:00,161
40,6/9/14 0:00,160
41,5/17/14 0:00,160
42,8/8/14 0:00,159
43,3/9/12 0:00,159
44,8/29/13 0:00,158
45,4/9/13 0:00,158
46,9/10/13 0:00,158
47,8/3/13 0:00,157
48,5/31/11 0:00,157
49,5/9/14 0:00,157
50,10/23/12 0:00,157
51,5/29/14 0:00,156
52,4/14/12 0:00,156
53,8/17/14 0:00,156
54,4/22/14 0:00,156
55,5/28/11 0:00,155
56,9/8/14 0:00,155
57,8/8/13 0:00,155
58,5/9/11 0:00,155
59,5/23/12 0:00,154
60,5/28/12 0:00,154
61,6/12/12 0:00,154
62,5/27/11 0:00,154
63,4/10/12 0:00,154
64,5/31/12 0:00,153
65,3/29/13 0:00,153
66,1/25/12 0:00,153
67,5/17/12 0:00,152
68,6/3/11 0:00,152
69,4/19/12 0:00,152
70,4/6/12 0:00,152
71,5/7/13 0:00,152
72,10/24/11 0:00,151
73,5/8/14 0:00,151
74,12/28/13 0:00,151
75,1/24/12 0:00,151
76,9/25/13 0:00,151
77,5/31/13 0:00,151
78,7/21/14 0:00,150
79,9/20/13 0:00,150
80,8/28/13 0:00,150
81,9/11/12 0:00,149
82,10/9/14 0:00,149
83,2/27/12 0:00,149
84,6/17/14 0:00,148
85,7/15/14 0:00,148
86,4/8/13 0:00,148
87,6/15/12 0:00,148
88,2/17/11 0:00,148
89,11/29/11 0:00,147
90,4/28/12 0:00,147
91,5/6/14 0:00,146
92,3/5/12 0:00,146
93,7/16/13 0:00,146
94,3/6/12 0:00,146
95,5/4/11 0:00,146
96,3/2/11 0:00,146
97,9/12/12 0:00,145
98,6/27/12 0:00,145
99,5/7/14 0:00,144
100,2/17/12 0:00,144
101,4/27/11 0:00,144
102,6/14/14 0:00,144
103,2/16/11 0:00,144
104,6/22/12 0:00,144
105,4/11/12 0:00,144
106,4/30/11 0:00,144
107,5/24/12 0:00,143
108,8/23/13 0:00,143
109,6/27/11 0:00,143
110,1/13/12 0:00,142
111,5/25/11 0:00,142
112,2/28/12 0:00,142
113,5/13/11 0:00,141
114,2/20/12 0:00,141
115,9/3/13 0:00,141
116,6/19/12 0:00,141
117,10/27/12 0:00,141
118,10/3/11 0:00,140
119,10/20/12 0:00,140
120,8/7/14 0:00,140
121,2/15/12 0:00,140
122,6/26/12 0:00,140
123,3/3/14 0:00,140
124,9/11/13 0:00,139
125,1/23/12 0:00,139
126,4/24/12 0:00,139
127,10/6/11 0:00,139
128,10/8/13 0:00,139
129,7/21/12 0:00,139
130,7/8/14 0:00,139
131,8/5/11 0:00,139
132,4/14/11 0:00,139
133,8/21/13 0:00,139
134,10/4/12 0:00,139
135,4/20/12 0:00,138
136,9/17/14 0:00,138
137,5/30/11 0:00,138
138,5/3/11 0:00,138
139,4/9/12 0:00,137
140,10/17/11 0:00,137
141,7/24/14 0:00,137
142,9/16/11 0:00,137
143,2/21/13 0:00,137
144,9/5/14 0:00,137
145,9/6/13 0:00,137
146,4/18/12 0:00,137
147,7/3/12 0:00,137
148,8/2/14 0:00,137
149,5/30/13 0:00,136
150,4/9/11 0:00,136
151,6/6/11 0:00,136
152,9/8/11 0:00,136
153,5/14/12 0:00,136
154,4/7/12 0:00,136
155,8/1/13 0:00,135
156,9/9/11 0:00,135
157,4/13/12 0:00,135
158,4/19/14 0:00,135
159,8/10/13 0:00,135
160,4/13/13 0:00,135
161,4/29/11 0:00,135
162,4/1/13 0:00,135
163,6/14/12 0:00,135
164,2/22/14 0:00,135
165,1/6/12 0:00,135
166,5/20/11 0:00,135
167,4/20/11 0:00,134
168,8/13/13 0:00,134
169,7/4/13 0:00,134
170,5/6/12 0:00,134
171,1/26/12 0:00,134
172,4/11/13 0:00,134
173,2/26/12 0:00,134
174,8/9/14 0:00,134
175,9/7/13 0:00,134
176,10/4/13 0:00,134
177,10/3/14 0:00,134
178,5/2/11 0:00,133
179,8/27/14 0:00,133
180,6/30/13 0:00,133
181,4/17/12 0:00,133
182,7/6/14 0:00,133
183,9/7/12 0:00,133
184,10/8/14 0:00,133
185,7/4/12 0:00,133
186,1/16/14 0:00,133
187,4/27/12 0:00,132
188,2/18/12 0:00,132
189,10/6/14 0:00,132
190,5/29/12 0:00,132
191,8/20/14 0:00,132
192,7/22/14 0:00,132
193,4/15/11 0:00,132
194,6/20/12 0:00,132
195,1/28/12 0:00,132
196,2/3/12 0:00,132
197,8/27/13 0:00,132
198,5/31/14 0:00,132
199,2/26/13 0:00,132
200,5/19/11 0:00,131
201,7/25/14 0:00,131
202,8/24/11 0:00,131
203,4/21/12 0:00,131
204,10/1/12 0:00,131
205,3/13/13 0:00,131
206,2/24/12 0:00,131
207,9/27/12 0:00,131
208,12/1/11 0:00,130
209,9/24/13 0:00,130
210,1/30/12 0:00,130
211,7/3/14 0:00,130
212,3/8/14 0:00,130
213,5/23/13 0:00,130
214,6/29/12 0:00,130
215,6/29/11 0:00,130
216,6/1/12 0:00,129
217,8/3/11 0:00,129
218,3/15/11 0:00,129
219,3/30/13 0:00,129
220,9/12/13 0:00,129
221,5/10/14 0:00,129
222,8/31/13 0:00,129
223,5/21/13 0:00,129
224,4/8/11 0:00,129
225,5/2/14 0:00,128
226,1/14/13 0:00,128
227,10/10/13 0:00,128
228,9/30/14 0:00,128
229,5/16/12 0:00,128
230,10/21/14 0:00,128
231,3/28/12 0:00,128
232,7/11/12 0:00,127
233,7/27/13 0:00,127
234,8/24/12 0:00,127
235,5/20/14 0:00,127
236,2/9/12 0:00,127
237,7/29/14 0:00,127
238,7/10/12 0:00,127
239,5/5/14 0:00,127
240,7/24/13 0:00,127
241,7/30/13 0:00,127
242,9/25/12 0:00,127
243,9/19/13 0:00,127
244,7/1/11 0:00,127
245,3/16/11 0:00,127
246,4/14/14 0:00,127
247,3/1/13 0:00,126
248,7/11/14 0:00,126
249,10/26/12 0:00,126
250,1/17/14 0:00,126
251,2/21/12 0:00,126
252,10/3/13 0:00,126
253,9/20/14 0:00,126
254,7/5/11 0:00,125
255,9/8/12 0:00,125
256,6/12/14 0:00,125
257,8/6/14 0:00,125
258,7/5/12 0:00,125
259,2/19/12 0:00,125
260,10/6/12 0:00,125
261,7/2/12 0:00,125
262,9/28/11 0:00,124
263,9/15/12 0:00,124
264,3/26/13 0:00,124
265,10/29/14 0:00,124
266,2/23/11 0:00,124
267,9/23/14 0:00,124
268,5/8/12 0:00,124
269,3/2/12 0:00,124
270,3/3/12 0:00,123
271,10/25/11 0:00,123
272,9/4/14 0:00,123
273,10/22/12 0:00,123
274,8/16/12 0:00,123
275,8/29/14 0:00,123
276,10/25/12 0:00,123
277,10/8/11 0:00,123
278,12/2/11 0:00,122
279,1/19/11 0:00,122
280,11/3/11 0:00,122
281,3/11/14 0:00,122
282,9/21/11 0:00,122
283,9/15/14 0:00,122
284,7/17/14 0:00,122
285,12/3/12 0:00,122
286,7/7/12 0:00,122
287,7/19/12 0:00,122
288,6/6/14 0:00,122
289,8/9/13 0:00,121
290,5/7/12 0:00,121
291,8/22/11 0:00,121
292,4/23/12 0:00,121
293,3/5/13 0:00,121
294,7/20/12 0:00,121
295,5/14/14 0:00,121
296,6/5/12 0:00,121
297,2/24/11 0:00,121
298,2/2/12 0:00,121
299,7/23/13 0:00,121
300,8/12/14 0:00,121
301,2/28/13 0:00,121
302,11/5/14 0:00,121
303,1/3/11 0:00,121
304,6/7/12 0:00,120
305,9/22/14 0:00,120
306,2/14/12 0:00,120
307,1/3/12 0:00,120
308,5/28/14 0:00,120
309,5/26/14 0:00,120
310,2/7/12 0:00,120
311,4/25/11 0:00,120
312,8/6/13 0:00,120
313,10/17/14 0:00,120
314,4/12/12 0:00,120
315,5/19/12 0:00,120
316,3/14/11 0:00,119
317,1/7/11 0:00,119
318,10/9/13 0:00,119
319,10/16/13 0:00,119
320,7/25/12 0:00,119
321,1/19/13 0:00,119
322,7/23/12 0:00,119
323,8/30/12 0:00,119
324,3/3/11 0:00,119
325,5/6/13 0:00,119
326,6/28/11 0:00,119
327,6/7/14 0:00,119
328,9/27/11 0:00,119
329,6/4/14 0:00,119
330,9/20/12 0:00,119
331,5/14/11 0:00,119
332,9/2/14 0:00,119
333,6/19/14 0:00,119
334,6/13/12 0:00,119
335,1/10/11 0:00,119
336,8/5/13 0:00,119
