,Unique_Values,Value_Counts
0, TREMONT ST,937
1, WASHINGTON ST,907
2, BOYLSTON ST,876
3,00 WASHINGTON ST,727
4,75 BOYLSTON ST,704
5,00 MASSACHUSETTS AV,656
6,00 SHAWMUT AV,621
7,39 BOYLSTON ST,563
8,70 ANNUNCIATION RD,544
9,00 TREMONT ST,466
10,618 SHAWMUT AV,435
11,00 HARRISON AV,391
12,870 MASSACHUSETTS AV,390
13,00 E BERKELEY ST,388
14,00 BOYLSTON ST,373
15,00 ALBANY ST,371
16,500 GENEVA AV,257
17,8 ALLSTATE RD,212
18, DORCHESTER AV,205
19, BLUE HILL AV at HARVARD ST,201
20,279 CENTRE ST,200
21,40 BOYLSTON ST,190
22, BLUE HILL AV,182
23,00 COLUMBUS AV,179
24, MAVERICK SQ,179
25,934 PARKER ST,178
26,0 BLUE HILL AV,169
27,1 CONGRESS ST,167
28,273 E BERKELEY ST,166
29, BOWER ST,164
30, CENTRAL SQ,154
31,246 BORDER ST,154
32,85 W NEWTON ST,153
33,00 DARTMOUTH ST,149
34, W NEWTON ST,148
35,702 WASHINGTON ST,145
36,86 WHITE ST,142
37,131 HAROLD ST,140
38,444 HARRISON AV,138
39, BLUE HILL AV at MORTON ST,138
40,1420 DORCHESTER AV,136
41,18 LATTIMORE CT,134
42, COLUMBIA RD,133
43, BLUE HILL AV at TALBOT AV,132
44, WINTER ST,129
45,125 TREMONT ST,123
46, MORTON ST at NORFOLK ST,122
47, BUNKER HILL ST,122
48, BLUE HILL AV at COLUMBIA RD,121
49,18 TROTTER CT,120
50,214 HARVARD ST,119
51,00 E BROOKLINE ST,119
52, COLUMBIA RD at WASHINGTON ST,115
53,2275 WASHINGTON ST,114
54,650 HARRISON AV,112
55, DORCHESTER AV at ADAMS ST,112
56, WASHINGTON ST at TALBOT AV,112
57, ESSEX ST,111
58, BLUE HILL AV at AMERICAN LEGI,109
59,0 WASHINGTON ST,109
60,0 DUDLEY ST,109
61, ANNUNCIATION RD,108
62,1352 DORCHESTER AV,107
63, BEACH ST,106
64,157 PEMBROKE ST,105
65,00 BERKELEY ST,105
66, NORFOLK ST at MORTON ST,104
67, CONGRESS ST,103
68,58 ANNUNCIATION RD,101
69,2201 WASHINGTON ST,101
70,54 ANNUNCIATION RD,101
71, DUDLEY ST,100
72,00 W NEWTON ST,99
73, HARRISON AV,98
74,50 ANNUNCIATION RD,98
75, BLUE HILL AV at WESTVIEW ST,98
76,301 CENTRE ST,98
77, MAIN ST,98
78, HUMBOLDT AV at RUTHVEN ST,97
79,4 WAKULLAH ST,97
80,2 BOYLSTON ST,96
81, CAUSEWAY ST,94
82,00 MELNEA CASS BL,94
83,0 L ST at E BROADWAY,93
84,00 PLAYSTEAD RD,91
85,800 WASHINGTON ST,91
86,944 PARKER ST,91
87, SUMMER ST,91
88,7 ALLSTATE RD,90
89,460 BLUE HILL AV,90
90,0 WASHINGTON ST at BOYLSTON ST,89
91, BLUE HILL AV at QUINCY ST,88
92, AMERICAN LEGION HY,88
93, SOUTH ST,87
94, MORTON ST at BLUE HILL AV,86
95, BLUE HILL AV at SEAVER ST,86
96,80 W NEWTON ST,85
97, BOWDOIN ST at GENEVA AV,84
98, PLAYSTEAD RD,83
99,68 ANNUNCIATION RD,82
100,3 OAKHURST ST,82
101,617 SHAWMUT AV,82
102,0 BEACH ST,82
103, DORCHESTER AV at PARK ST,81
104,3055 WASHINGTON ST,80
105, BLUE HILL AV at STRATTON ST,80
106, GENEVA AV,80
107, HARVARD ST at VESTA RD,80
108,950 PARKER ST,80
109,5 AUSTIN ST,79
110, REDDY AV,79
111,1127 HARRISON AV,79
112, BLUE HILL AV at VESTA RD,79
113,576 BLUE HILL AV,78
114, BLUE HILL AV at ESMOND ST,77
115,54 FRANKLIN HILL AV,77
116, CAMBRIDGE ST,77
117,0 E BROADWAY at L ST,77
118, HUMBOLDT AV,76
119, TALBOT AV at WASHINGTON ST,76
120, DORCHESTER AV at GREENWICH ST,75
121, RIVER ST,75
122,287 CENTRE ST,75
123, NORFOLK ST,75
124,954 PARKER ST,75
125, WASHINGTON ST at COLUMBIA RD,75
126, TALBOT AV,74
127, WASHINGTON ST at ASPINWALL RD,74
128,00 LENOX ST,73
129,510 WASHINGTON ST,73
130,85 SOUTHAMPTON ST,73
131, EDINBORO ST,72
132, BLUE HILL AV at WARREN ST,72
133,558 WASHINGTON ST,72
134, BOWDOIN ST at NORTON ST,71
135,00 DORCHESTER AV,70
136,0 OXFORD PL,70
137, WARREN ST,70
138,00 COMMONWEALTH AV at HARVARD,70
139, DORCHESTER AV at FREEPORT ST,70
140, CENTRE ST,70
141, HUMBOLDT AV at HOMESTEAD ST,69
142,00 NEWBURY ST,69
143,76 ANNUNCIATION RD,69
144, DORCHESTER AV at KIMBALL ST,69
145, BLUE HILL AV at GLENWAY ST,69
146, AUSTIN ST,69
147, DORCHESTER AV at GIBSON ST,68
148,450 WASHINGTON ST,68
149, ANSON ST,68
150, HARVARD ST at BERNARD ST,68
151,625 SHAWMUT AV,67
152,3 DALESSIO CT,67
153,80 ARCHDALE RD,65
154, ATLANTIC AV,65
155,30 ANNUNCIATION RD,65
156, ERIE ST at ELLINGTON ST,65
157,0 WASHINGTON ST at WINTER ST,65
158, COLUMBUS AV at WASHINGTON ST,65
159, SCHOOL ST,64
160,0 CAUSEWAY ST,64
161,135 DUDLEY ST,64
162, CANAL ST,64
163,0 ALLSTATE RD,64
164, WASHINGTON ST at HARVARD ST,63
165, BLUE HILL AV at BABSON ST,63
166,0 TREMONT ST,63
167,38 VESTA RD,61
168, BOWDOIN ST at OLNEY ST,61
169, COLUMBIA RD at DEVON ST,61
170, DUDLEY ST at DEARBORN ST,61
171,0 B ST at W 2ND ST,61
172,0 ANDREW SQUARE,60
173, BLUE HILL AV at CALLENDER ST,60
174,0 WARREN ST,60
175,660 WASHINGTON ST,60
176,38 ANNUNCIATION RD,60
177,17 NORMANDY ST,60
178,1100 MASSACHUSETTS AV,60
179,00 HUNTINGTON AV,59
180, BOWDOIN ST,59
181, WASHINGTON ST at SCHOOL ST,59
182,124 EUSTIS ST,59
183, MT PLEASANT ST,58
184, CHAUNCY ST,58
185,2360 WASHINGTON ST,58
186, WALFORD WY,58
187, MEDFORD ST,58
188, MAPLE ST at CHENEY ST,57
189, MT PLEASANT AV,57
190, COLUMBIA RD at DUDLEY ST,57
191, COMMERCIAL ST,57
192, KNEELAND ST,57
193,128 TREMONT ST,56
194,14 ZEIGLER ST,56
195,1050 TREMONT ST,56
196, CUMMINS HY,56
197,28 MICHIGAN AV,56
198,69 PARIS ST,55
199, ARCHDALE RD,55
200, BOWDOIN ST at QUINCY ST,55
201,0 MOAKLEY PARK,55
202,00 NORTHAMPTON ST,55
203,26 ANGELL ST,55
204,9 DITMUS CT,55
205,609 SHAWMUT AV,55
206, WALNUT AV,54
207, HARVARD ST,54
208, CHARLES ST,54
209,1 LEYLAND ST,54
210, SCHOOL ST at WASHINGTON ST,54
211, SEAVER ST,54
212,10 TROTTER CT,54
213, COLUMBIA RD at GENEVA AV,53
214, TREMONT ST at AGUADILLA ST,53
215,571 WASHINGTON ST,53
216, WAINWRIGHT ST,53
217,00 APPLETON ST,53
218, COLUMBIA RD at HANCOCK ST,53
219, ADAMS ST at DORCHESTER AV,52
220, BLUE HILL AV at WASHINGTON ST,52
221,40 GIBSON ST,52
222,40 ANNUNCIATION RD,52
223,44 WINTER ST,52
224, PARKER ST,52
225, MORTON ST,52
226, WASHINGTON ST at MORSE ST,51
227, AMES ST at AMES WY,51
228, HARVARD ST at BLUE HILL AV,51
229, CHENEY ST at HARTWELL ST,51
230,74 NIGHTINGALE ST,51
231, DORCHESTER AV at BAILEY ST,51
232,14 HORADAN WY,51
233, TROTTER CT,51
234,85 WARREN ST,51
235,1200 WASHINGTON ST,50
236,0 SOUTHAMPTON ST,50
237,37 HOSMER ST,50
238,0 COLUMBIA RD,50
239, ASHMONT ST,49
240,570 BLUE HILL AV,49
241, QUINCY ST,49
242, TREMONT ST at W NEWTON ST,49
243,80 ANNUNCIATION RD,49
244,0 KNAPP ST,49
245, WASHINGTON ST at ERIE ST,49
246,12 HORADAN WY,48
247,60 ANNUNCIATION RD,48
