,Unique_Values,Value_Counts
0,4771,8670
1,485,7285
2,1350,4041
3,543,3583
4,4562,3562
5,2893,2216
6,1389,2115
7,1020,2080
8,822,2050
9,4124,2025
10,163,1646
11,4762,1535
12,3272,1483
13,2104,1423
14,2122,1361
15,1839,1194
16,3434,1167
17,3094,1098
18,4402,1093
19,1023,1084
20,529,1084
21,4700,1032
22,2326,901
23,37,896
24,506,714
25,3844,706
26,3727,693
27,4085,688
28,68,678
29,1438,633
30,1033,606
31,2346,605
32,2065,573
33,106,529
34,2096,522
35,134,514
36,2294,504
37,2974,489
38,4740,479
39,2281,478
40,1600,454
41,3426,449
42,4687,423
43,135,414
44,2336,407
45,531,401
46,659,397
47,4965,392
48,4203,386
49,361,380
50,4571,379
51,720,377
52,3339,370
53,4063,364
54,2800,363
55,5005,358
56,3239,353
57,2907,351
58,1044,350
59,3274,346
60,2636,341
61,856,337
62,4200,328
63,3123,324
64,3957,320
65,4182,320
66,4345,317
67,1173,315
68,1441,307
69,1584,306
70,2667,304
71,418,300
72,1896,300
73,232,295
74,1233,295
75,4356,294
76,190,292
77,1772,291
78,875,291
79,3283,283
80,1206,279
81,1535,279
82,4331,278
83,786,273
84,1133,271
85,5057,270
86,3293,268
87,2589,268
88,3121,267
89,4828,263
90,1578,262
91,2958,259
92,4035,258
93,2836,257
94,4731,256
95,873,256
96,2359,255
97,4333,254
98,3256,254
99,4892,252
100,1445,247
101,814,246
102,1813,244
103,1351,243
104,3355,234
105,2173,231
106,2118,229
107,1979,229
108,3607,224
109,1207,223
110,2513,220
111,4742,218
112,2302,217
113,3290,216
114,2056,215
115,731,213
116,4645,211
117,262,210
118,4787,208
119,4968,205
120,3556,205
121,364,205
122,249,205
123,2275,204
124,2797,204
125,2949,202
126,630,202
127,4987,202
128,2805,202
129,4045,198
130,1256,197
131,4730,191
132,1196,188
133,3089,187
134,3790,187
135,1803,187
136,4870,185
137,1832,182
138,109,180
139,2719,180
140,1373,179
141,1442,179
142,4549,178
143,281,176
144,2929,174
145,141,174
146,4724,173
147,2860,173
148,2538,171
149,2052,171
150,1436,169
151,3330,168
152,3222,168
153,4732,167
154,796,166
155,2526,165
156,425,164
157,714,164
158,623,164
159,723,163
160,4754,163
161,512,162
162,3401,162
163,3009,159
164,439,158
165,1307,158
166,2332,158
167,3944,158
168,1606,157
169,4295,156
170,427,154
171,4739,154
172,2665,154
173,4370,154
174,2117,154
175,978,154
176,4493,152
177,4872,152
178,2680,150
179,3382,150
180,1029,149
181,3560,148
182,1786,147
183,1199,144
184,4894,142
185,2507,142
186,526,141
187,1854,140
188,1507,140
189,237,140
190,1683,140
191,3031,140
192,207,139
193,4405,139
194,779,139
195,4722,138
196,5007,138
197,54,136
198,2298,136
199,4207,135
200,3605,134
201,959,134
202,3269,133
203,3487,132
204,1987,132
205,4646,132
206,1880,131
207,3416,131
208,1312,131
209,1490,130
210,3206,129
211,3314,129
212,4980,129
213,2879,128
214,3083,128
215,2544,126
216,828,124
217,1845,124
218,4683,123
219,598,123
220,2448,122
221,2476,122
222,2070,122
223,1334,122
224,3877,120
225,3020,120
226,1142,120
227,642,120
228,2908,119
229,1177,119
230,4583,119
231,2961,119
232,308,119
233,4758,118
234,4026,118
235,3622,117
236,2305,117
237,5021,116
238,4270,116
239,3195,116
240,285,115
241,3431,113
242,1043,113
243,4719,112
244,3026,112
245,1668,111
246,3975,111
247,4282,110
248,4784,110
249,4324,109
250,1204,109
251,2331,109
252,3395,109
253,2058,106
254,716,106
255,2525,106
256,619,104
257,916,104
258,2102,104
259,1583,103
260,2954,103
261,2227,103
262,676,102
263,4289,102
264,1527,102
265,4780,102
266,4745,101
267,2555,101
268,1534,100
269,2485,99
270,4219,99
271,618,99
272,3128,98
273,290,98
274,4692,98
275,4705,97
276,3076,97
277,2343,97
278,1330,96
279,1021,96
280,156,95
281,1740,94
282,1982,94
283,2601,93
284,4897,93
285,3475,92
286,2320,92
287,1961,91
288,3051,91
289,151,91
290,868,91
291,3834,90
292,2361,90
293,1070,90
294,4154,90
295,73,89
296,1870,89
297,3775,89
298,4338,89
299,435,88
300,173,87
301,2986,87
302,457,87
303,4859,87
304,166,86
305,4883,86
306,2312,86
307,2842,86
308,3927,86
309,1603,85
310,612,85
311,2935,85
312,3572,84
313,19,84
314,2244,84
315,1775,83
316,3373,83
317,4492,83
318,2690,83
319,653,83
320,4301,82
321,2792,82
322,2765,81
323,1726,81
324,1437,81
325,2264,80
326,4679,79
327,4310,79
328,920,79
329,583,79
330,2642,78
331,1266,78
332,706,78
333,980,78
334,60,77
335,4814,77
336,4840,77
337,4940,77
338,4917,77
339,4962,76
340,1387,76
341,136,76
342,5060,76
343,1894,76
344,5000,76
345,402,75
346,4138,75
347,2295,75
348,1840,74
349,381,74
350,733,74
351,108,73
352,1111,73
353,1759,73
354,4257,73
355,4446,73
356,4790,72
357,2740,72
358,4693,72
359,954,72
360,848,72
361,2181,72
362,737,72
363,2278,72
364,2920,72
365,1738,71
366,1461,70
367,2464,70
368,1700,70
369,4197,69
370,2928,69
