,Unique_Values,Value_Counts
0,22,9151
1,21,8612
2,23,8592
3,20,8259
4,24,7547
5,19,7395
6,25,6846
7,26,6010
8,18,5973
9,27,5047
10,28,4578
11,17,4371
12,29,4217
13,30,4025
14,-1,3689
15,31,3527
16,32,3495
17,33,3153
18,34,2915
19,16,2889
20,35,2560
21,36,2360
22,37,2081
23,38,1937
24,39,1767
25,41,1743
26,42,1695
27,44,1693
28,15,1689
29,45,1675
30,40,1662
31,43,1652
32,46,1587
33,47,1524
34,48,1426
35,49,1422
36,51,1181
37,50,1163
38,52,1100
39,53,986
40,54,890
41,14,704
42,55,665
43,56,596
44,57,517
45,58,488
46,59,382
47,60,322
48,61,240
49,13,234
50,0,202
51,62,185
52,63,158
53,64,131
54,65,93
55,66,93
56,12,85
57,67,73
58,69,58
59,68,54
60,70,50
61,1,46
62,73,37
63,11,36
64,71,36
65,72,24
66,75,22
67,77,20
68,74,20
69,76,18
70,79,15
71,80,11
72,78,10
73,7,7
74,81,6
75,10,6
76,127,6
77,4,5
78,9,5
79,2,4
80,83,4
81,8,4
82,84,3
83,93,3
84,6,3
85,124,2
86,133,2
87,91,2
88,85,2
89,82,2
90,3,2
91,88,2
92,94,2
93,128,2
94,137,2
95,111,1
96,145,1
97,89,1
98,130,1
99,99,1
100,86,1
101,129,1
102,100,1
103,119,1
104,140,1
105,105,1
106,138,1
107,125,1
108,134,1
109,240,1
110,114,1
111,126,1
112,156,1
113,136,1
114,146,1
115,97,1
116,243,1
117,92,1
118,5,1
