,Unique_Values,Value_Counts
0,NH,3114
1,N/H,1509
2,CV,1350
3,BNH,1214
4,NON,837
5,HISPANIC,786
6,Hispanic,725
7,B/N,670
8,HISP,668
9,NON-HISPANIC,533
10,NON HISPANIC,509
11,WH,504
12,H,478
13,BH,472
14,hispanic,416
15,W/H,373
16,BLACK,369
17,non-hispanic,311
18,non hispanic,303
19,BN,292
20,Non-Hispanic,292
21,AM,285
22,NON-HISP,267
23,n/h,264
24,B/H,238
25,non,217
26,NONHISPANIC,201
27,N,199
28,W/N,161
29,black,160
30,Non,137
31,B,135
32,N-H,120
33,WNH,115
34,Non Hispanic,112
35,UNK,111
36,Hisp,111
37,BLK,109
38,CAPE VERDEAN,108
39,PR,107
40,white,90
41,Black,87
42,B N/H,84
43,WHITE,83
44,nh,78
45,wht/h,75
46,Cape Verdean,74
47,cape verdean,72
48,White,71
49,WHITE HISPANIC,61
50,Hisp.,59
51,BWH,59
52,HIS,58
53,W,55
54,b/n,55
55,hisp,55
56,BLACK HISPANIC,53
57,C/V,52
58,BLACK NON HISPANIC,50
59,blk/h,50
60,NON/H,48
61,w/h,45
62,NON HISP,45
63,B/N/H,44
64,B-NON,42
65,HAITIAN,40
66,UNKNOWN,39
67,black non-hispanic,38
68,DR,37
69,Black Hispanic,36
70,cv,35
71,white hispanic,35
72,w/n,34
73,blk,34
74,HNW,33
75,USA,32
76,PUERTO RICAN,32
77,Non-hispanic,31
78,black hispanic,31
79,Black non-hispanic,30
80,CAPE VERDIAN,29
81,NON/HISP,28
82,El Salvdoran,28
83,WN,27
84,Puerto Rican,26
85,unk,25
86,unknown,24
87,Dominican,24
88,N - H,24
89,DOMINICAN,23
90,NON-HIS,22
91,DM,22
92,bnh,22
93,NON H,21
94,blk/hait,21
95,SOMALI,21
96,blk/hisp,20
97,b/h,20
98,h,20
99,cape verde,20
100,A,19
101,black non hispanic,19
102,wht/hisp,19
103,Non-HIspanic,18
104,B-non,18
105,C.V.,17
106,BLACK NONHISPANIC,17
107,am,17
108,American,16
109,SOMALIAN,16
110,AA,16
111,b-non,16
112,haitian,16
113,Cape Verdian,16
114,Am,15
115,B-H,15
116,Blk,15
117,B/W,15
118,hISPANIC,14
119,whte/hisp,14
120,AMERICAN,14
121,wh,14
122,NON-H,14
123,B NH,13
124,BN/H,13
125,Non His,13
126,WHITE-HISPANIC,13
127,B/NH,12
128,ASIAN,12
129,whte/h,12
130,AMER,12
131,blk/haitian,11
132,wnh,11
133,P.R.,11
134,P,10
135,b,10
136,AFRICAN,10
137,Unknown,10
138,W/N/H,10
139,Cape Verde,10
140,GREEK,10
141,dominican,10
142,Haitian,10
143,NONHISP,10
144,wh/h,9
145,HATIAN,9
146,Black Non- Hispanic,9
147,Non- Hispanic,9
148,Irish,9
149,Asian,9
150,EL SALVADOR,9
151,non-hisp,9
152,w,9
153,C.V,9
154,His,9
155,White Hispanic,9
156,Black Non-Hispanic,8
157,SAMALI,8
158,AFRICAN AMERICAN,8
159,Vietnamese,8
160,Black non hispanic,8
161,ITALIAN,8
162,P.R,8
163,white/hispanic,8
164,BL,8
165,Black hispanic,8
166,DOM,8
167,n,8
168,IRISH,7
169,Somali,7
170,VIET,7
171,cape verdian,7
172,non/hisp,7
173,CAPE VERDE,7
174,N H,7
175,white non hispanic,7
176,WHITE NON HISPANIC,7
177,NONHIS,7
178,B/W/H,7
179,NON/HIS,7
180,African,7
181,Non- HIspanic,6
182,blk haitian,6
183,Bh,6
184,viet,6
185,c/v,6
186,Non hispanic,6
187,american,6
188,Black and Hispanic,6
189,Unk,6
190,A/A,6
191,White hispanic,6
192,W-H,6
193,Salvadoran,6
194,NON HIS,6
195,N/M,6
196,Somalian,6
197,AF,6
198,whte hisp,6
199,W/NH,6
200,M,5
201,El Salvadoran,5
202,italian,5
203,non/h,5
204,Columbian,5
205,asian,5
206,BNON,5
207,Jamaican,5
208,whte/hisp.,5
209,White/Hispanic,5
210,SM,5
211,BLACK/WHITE,5
212,ME,5
213,DOM REP,5
214,Honduran,5
215,RUSSIAN,5
216,M/E,5
217,white non-hispanic,5
218,Italian,5
219,puerto rican,5
220,BW,5
221,hatian,5
222,HS,5
223,BM,5
224,WHT,5
225,Non H,5
226,dm,5
227,African American,4
228,wHITE,4
229,B/NON HISP,4
230,W/HISP,4
231,HI,4
232,N- H,4
233,BLK/H,4
234,C V,4
235,hisp.,4
236,ALBANIAN,4
237,PUERTORICAN,4
238,PUERTO RICO,4
239,HAITI,4
240,Middle Eastern,4
241,blk/ hait,4
242,SALVADOR,4
243,blk hisp,4
244,pr,4
245,Nh,4
246,AFRO,4
247,whte  hisp,4
248,non/hisp.,4
249,CAPE V,4
250,non-hisp.,4
251,n/H,4
252,Brazil,4
253,Black/Hispanic,4
254,Amer,4
255,El Salvador,4
256,Non-H,4
257,Mexican,4
258,white-hispanic,4
259,Guatamalen,4
260,Colombian,4
261,MED,4
262,non his,4
263,Russian,4
264,HT,4
265,BLK/HAIT,4
266,Puertorican,3
267,MIDDLE EASTERN,3
268,Brazilian,3
269,P/R,3
270,BLACK NON HISP,3
271,b/haitian,3
272,Morroccan,3
273,LATINO,3
274,w/hisp,3
275,turkish,3
276,N/N,3
277,BLACK NON,3
278,blk/ haitian,3
279,ELSALVADOR,3
280,HISPANICE,3
281,Black Non Hispanic,3
282,somalian,3
283,W/Hisp,3
284,m,3
285,MEXICAN,3
286,wH,3
287,HAITAN,3
288,WHISP,3
289,CAUC,3
290,b  n/h,3
291,SOM,3
292,INDIAN,3
293,b/hait,3
294,VT,3
295,blk  hisp,3
296,non hisp,3
297,DK,3
298,HBP,3
299,capeverdean,3
300,w/n/h,3
301,Salvador,3
302,NON/HISPANIC,3
303,CAVERDIAN,3
304,B non,3
305,light,3
306,ARABIC,3
307,jamaican,3
308,unk.,3
309,B-N-H,3
310,EL SALV,3
311,african,3
312,W N/H,3
313,CHINESE,3
314,CU,3
315,Greek,3
316,0,3
317,irish,3
318,D,3
319,colombian,3
320,russian,3
321,UN,3
322,Viet,2
323,Wh,2
324,bn,2
325,SPANISH,2
326,HISANIC,2
327,LATIN,2
328,NON-SHIP,2
329,aMER,2
330,dom,2
331,B/H - AM,2
332,bl,2
333,BHN,2
334,D.R.,2
335,guatemala,2
336,B/N/H/,2
337,n/hisp,2
338,BLACK/HISPANIC,2
339,US,2
340,Capeverdian,2
341,p.r,2
342,White non hispanic,2
343,black/hisp.,2
344,TRINIDAD,2
345,w-hisp,2
346,non hispanicq,2
347,NONE HISPANIC,2
348,blk/hisp.,2
349,BLK/HISP,2
350,HISP.,2
351,hipanic,2
352,b/nh,2
353,haitian/blk,2
354,Non-His,2
355,vietnamese,2
356,HHISPANIC,2
357,C,2
358,Puerto rican,2
359,Non H.,2
360,B/NON/HISP,2
361,NonH,2
362,Non HIspanic,2
363,WHITE NONHISPANIC,2
364,Black non Hispanic,2
365,hait,2
366,B/NB,2
367,ITAL,2
368,Non Hisp,2
369,somali,2
370,blk hait,2
371,White Non-Hispanic,2
372,23/2/90,2
373,haitain,2
374,BRAZILIAN,2
375,haita,2
376,BLNH,2
377,Black/hispanic,2
378,CAUCASION,2
379,DOMINICAN REPUBLIC,2
380,WNON,2
381,cape verd,2
382,B  N/H,2
383,albanian,2
384,B-M,2
385,W/A,2
386,N?H,2
387,NON HIS.,2
388,VIETNAM,2
389,b/N,2
390,`,2
391,w. indian,2
392,mixed race,2
393,mexican,2
394,MEX,2
395,BLACK NON-HISPANIC,2
396,Jamacian,2
397,blk /h,2
398,JAMAICAN,2
399,NIT,2
400,SAMALIAN,2
401,his,2
402,Hispaqnic,2
403,bl/h,2
404,BROWN,2
405,NON/HI,2
406,non-h,2
407,CAPEVERDIAN,2
408,Non. H,2
409,Spanish,2
410,B/n,2
411,AFRO AMERICAN,2
412,N-A,2
413,Black-hispanic,2
414,HIP,2
415,span,2
416,BULGARIAN,2
417,indian,2
418,NON HI,2
419,Dom,2
420,PUERTO,2
421,wht-h,2
422,middle eastern,2
423,Af. American,2
424,CAU,2
425,NONH,2
426,HM,2
427,JAMACIA,2
428,W/Hispanic,2
429,blk  hait,2
430,D.R,2
431,non Hispanic,2
432,BnH,2
433,Turkish,1
434,Non-hisp.,1
435,`NON,1
436,Non His.,1
437,Cape Vedean,1
438,Samalian,1
439,blk/ hispanic,1
440,Uruguay,1
441,White/nonhispanic,1
442,B/NON-HISP,1
443,8/22/85,1
444,non His.,1
445,I,1
446,6/15/76,1
447,SOLMANIAN,1
448,Kenyon,1
449,BlACK,1
450,LIBERIAN,1
451,wht,1
452,WC,1
453, N-H,1
454,CUBAN,1
455,SAMALIA,1
456,Hispanic (Puerto Rican),1
457,CAPEVERDE,1
458,Cape Verd,1
459,A/H,1
460,ethiopian,1
461,5/1/93,1
462,21/3/91,1
463,Med,1
464,1/26/83,1
465,2/6/56,1
466,Cape Veridan,1
467,MI,1
468,barbados,1
469,NOT HISP,1
470,Nisp,1
471,SOLMANIA,1
472,B/A,1
473,Salvadorian,1
474,bk hisp,1
475,Non-Hispanic Cape Verdian,1
476,EL SAL,1
477,A-A,1
478,24/10/91,1
479,Saudi,1
480,mid,1
481,w/N,1
482,Black/Non-Hispanic,1
483,W-NON,1
484,Nonm Hispanic,1
485,CAPEDERDIAN,1
486,Mis,1
487,Hisoanic,1
488,nigeria,1
489,29/4/93,1
490,5/12/88,1
491,greek origin,1
492,BNI,1
493,SOMALA,1
494,WM,1
495,NON-/H,1
496,sommalian,1
497,Vietnam,1
498,cape verdi,1
499, NH,1
500,Nn hispanic,1
501,HISPANCI,1
502,WHITENON HISPANIC,1
503,black non-Hispanic,1
504,ITILIAN,1
505,black.hispanic,1
506,bh,1
507,SOMILA,1
508,El savador,1
509,non/hs,1
510,His.,1
511,W B,1
512,non-Hispanic,1
