,Unique_Values,Value_Counts
0,107106,2928
1,92675,2672
2,83575,1743
3,11631,1699
4,11817,1587
5,98656,1450
6,91925,1363
7,52976,1354
8,83788,1345
9,91908,1333
10,103765,1224
11,99722,1223
12,91889,1174
13,103591,1139
14,55238,1119
15,103611,1102
16,99731,1083
17,81410,954
18,50576,953
19,75660,934
20,102661,930
21,93855,919
22,91907,901
23,102353,889
24,11447,854
25,86845,840
26,75636,836
27,98663,830
28,102400,822
29,89996,814
30,56108,785
31,95177,777
32,116141,763
33,62601,762
34,85892,733
35,83200,715
36,102676,686
37,75659,678
38,102951,676
39,91893,663
40,93854,654
41,116222,645
42,11591,644
43,86206,643
44,108891,632
45,103559,614
46,81408,590
47,55390,574
48,12104,574
49,11804,572
50,12027,568
51,103785,566
52,106678,564
53,102366,557
54,1,552
55,103749,540
56,102399,537
57,108895,532
58,99771,530
59,9754,525
60,106713,524
61,12198,521
62,103596,520
63,102291,518
64,103761,515
65,106719,513
66,74876,510
67,98667,508
68,108890,503
69,116945,501
70,81698,500
71,106668,498
72,103757,486
73,102371,485
74,99822,478
75,11106,465
76,116221,461
77,108892,459
78,10164,457
79,99725,441
80,86124,438
81,98660,437
82,9765,429
83,116904,428
84,103767,425
85,102401,421
86,103536,415
87,54335,415
88,106745,411
89,102955,408
90,114273,400
91,116893,400
92,50778,399
93,11680,398
94,103782,394
95,93478,388
96,102348,388
97,102331,385
98,56151,384
99,106718,378
100,11168,371
101,9041,369
102,108877,360
103,11448,357
104,8663,357
105,11120,354
106,116890,343
107,93870,343
108,98661,342
109,10799,340
110,12317,337
111,81082,335
112,50679,332
113,93860,330
114,86209,330
115,102673,326
116,95800,322
117,102678,319
118,116220,319
119,103787,313
120,99734,313
121,105627,307
122,102672,306
123,75653,306
124,10732,306
125,10417,305
126,106317,305
127,103754,304
128,75105,304
129,89907,304
130,106691,303
131,12017,302
132,76156,299
133,93256,298
134,80411,297
135,98665,297
136,103588,286
137,83574,286
138,11247,285
139,92445,284
140,75647,283
141,99753,274
142,82917,274
143,10327,268
144,11182,267
145,86201,266
146,108883,265
147,102940,264
148,12202,263
149,116209,263
150,10801,260
151,103720,259
152,10739,259
153,12208,257
154,106712,257
155,99798,256
156,91202,253
157,106726,253
158,9996,252
159,105620,251
160,116947,249
161,103590,246
162,105619,242
163,50297,240
164,103758,239
165,106681,238
166,83205,237
167,103524,237
168,103780,235
169,76157,234
170,102409,229
171,105623,229
172,12011,224
173,110929,223
174,51643,223
175,116909,223
176,116234,222
177,95151,222
178,102949,220
179,82861,219
180,102959,217
181,103764,210
182,50678,209
183,11611,207
184,8847,206
185,74873,206
186,8975,206
187,102682,205
188,93863,202
189,98638,201
190,108899,196
191,126574,196
192,126478,194
193,103549,191
194,126514,190
195,116948,189
196,99878,189
197,108898,189
198,108610,189
199,116944,187
200,11693,187
201,10804,184
202,116899,183
203,99724,183
204,12141,180
205,102933,180
206,102370,179
207,86212,175
208,102335,175
209,11429,174
210,11609,174
211,126474,174
212,12261,173
213,99774,173
214,86199,172
215,11318,170
216,11177,170
217,99726,170
218,103783,168
219,121447,168
220,51578,168
221,103538,167
222,96733,167
223,10067,167
224,103551,166
225,116113,165
226,102365,162
227,103771,162
228,51415,160
229,106698,160
230,99792,160
231,126566,158
232,116933,157
233,11124,155
234,103781,155
235,102950,155
236,11903,155
237,104744,153
238,103751,152
239,12204,152
240,81364,149
241,81732,148
242,81127,147
243,102957,147
244,103790,146
245,10124,146
246,86175,145
247,102385,143
248,11816,143
249,98635,143
250,103567,142
251,11821,142
252,116931,142
253,9726,142
254,55789,142
255,116210,142
256,99877,142
257,98653,140
258,95801,140
259,10251,139
260,11899,138
261,131212,137
262,120902,137
263,116224,137
264,76146,137
265,10000,136
266,106724,136
267,103746,136
268,116107,136
269,103762,136
270,103537,136
271,102369,135
272,11361,134
273,11965,134
274,75645,133
275,102938,133
276,2,133
277,99212,133
278,99789,132
279,88741,131
280,86783,131
281,99715,131
282,102391,131
283,95168,131
284,51404,130
285,99755,130
286,108886,130
287,12207,130
288,102910,129
289,11053,129
290,106710,128
291,9278,128
292,83204,128
293,95135,126
294,126481,124
295,95173,123
296,103772,122
297,12106,122
298,120925,122
299,9778,122
300,12232,122
301,99719,122
302,105132,122
303,102350,121
304,53805,120
305,99825,120
306,76078,120
307,51000,120
308,116199,120
309,11697,120
310,116885,119
311,120928,119
312,12209,119
313,120930,119
314,12255,119
315,12257,118
316,75657,118
317,11819,118
318,81403,117
319,87069,116
320,126548,116
321,116235,115
322,108896,114
323,53987,114
324,108894,114
325,12119,114
326,120897,113
327,99790,113
328,51480,113
329,9032,113
330,102405,111
331,102680,110
332,102384,110
333,119101,110
334,126475,109
335,11951,108
336,108893,108
337,126561,108
338,102666,107
339,126521,107
340,98657,106
341,11613,106
342,12107,106
343,11618,105
344,126524,105
345,80943,104
346,103602,103
347,50308,102
348,93852,102
349,102345,101
350,93828,101
351,99776,101
352,102340,101
353,103545,101
354,103903,100
355,12142,100
356,103598,100
357,10132,100
358,116179,99
359,96710,98
360,102934,97
361,126562,97
362,116892,97
363,102338,97
364,103760,97
365,96728,97
366,12129,96
367,103579,96
368,108885,96
369,102383,96
370,91711,95
371,53071,95
372,103731,95
373,126477,95
374,98642,94
375,96697,94
376,98637,94
377,126502,93
378,11612,93
379,102349,92
380,102290,92
381,51558,92
382,11413,92
383,89182,91
384,75648,91
385,11690,90
386,9718,90
387,95798,90
388,96731,90
389,80344,90
390,97285,89
391,131204,89
392,116218,89
393,87213,89
394,11424,89
395,11476,88
396,120912,87
397,51201,87
398,8953,87
399,12131,87
400,99799,87
401,107289,86
402,11428,86
403,12028,86
404,74878,85
405,78213,85
406,10148,85
407,11689,84
408,11395,84
409,11210,83
410,86221,82
411,90495,82
412,90466,82
413,120931,82
414,9615,82
415,102936,81
416,103741,81
417,10558,81
418,103789,81
419,103779,80
420,53603,80
421,8643,80
422,98647,80
423,10510,80
424,103514,79
425,120909,79
426,11066,78
427,103533,78
428,116896,78
429,97720,77
430,102403,77
431,102407,77
432,56358,76
433,116172,76
434,99736,75
435,101129,75
436,116111,75
437,98750,75
438,11946,74
439,98645,74
440,11169,74
441,103525,74
442,99788,73
443,9758,73
444,120924,73
445,106311,73
446,103774,73
447,11319,73
448,94734,72
449,10047,72
450,120927,72
451,54014,71
452,102406,71
453,10519,71
454,126493,71
455,108878,70
456,10598,70
457,11715,70
458,12156,69
459,97302,68
460,95226,68
461,80401,67
462,76342,67
463,8311,67
464,102662,66
465,126560,66
466,11294,66
467,126500,66
468,87199,66
469,100415,66
470,103552,66
471,75000,66
472,72751,65
473,116168,65
474,108889,65
475,120929,65
476,108887,65
477,99769,64
478,116891,64
479,11445,64
480,103759,64
481,10562,64
482,108437,64
483,80420,64
484,11826,64
485,96288,64
486,50219,63
487,11335,63
488,103668,63
489,96730,63
490,11698,63
491,103592,63
492,98643,62
493,116285,62
494,81335,61
495,98633,61
496,116886,61
497,106666,61
498,102668,61
499,8695,61
500,11716,61
501,11322,60
502,12210,60
503,103561,60
504,51667,60
505,96053,59
506,108874,59
507,51633,59
508,102684,58
509,11747,58
510,102355,58
511,103752,58
512,102329,58
513,93797,58
514,11646,57
515,120945,57
516,88314,57
517,116941,57
518,11418,57
519,11733,56
520,93867,56
521,116170,56
522,62253,56
523,8694,56
524,11452,56
525,11699,56
526,96668,56
527,103583,56
528,76945,56
529,9698,55
530,83206,55
531,9282,55
532,8641,54
533,75742,54
534,10713,53
