Unique Values,Count,Percentage
INVESTIGATE,97220,0.6489596753199074
VAL,21270,0.1419807888711626
DRUGS,5661,0.037788116868812956
TRESPASSING,4718,0.031493434973866724
WARRANTS,2451,0.016360832793757385
DISTURBANCE,2159,0.014411684211228964
PUBLIC DRINKING,2003,0.013370358256179535
PROSTITUTION,1868,0.012469210795079066
LARCENY,1853,0.012369083299401238
GUNSHOTS,875,0.005840770581206737
B&E,874,0.005834095414828214
AFFRAY,785,0.005240005607139758
209A,768,0.005126527778704884
FIREARM,746,0.004979674118377401
PANHANDLING,731,0.004879546622699571
ALCOHOL,645,0.00430548231414668
A&B,598,0.0039917494943561465
OTHER,444,0.0029637738720637613
ROBBERY,406,0.002710117549679926
LOUD PARTY,396,0.002643365885894706
DISORDERLY,396,0.002643365885894706
CITY ORDINANCE,371,0.002476486726431656
DISPUTE,338,0.002256206235940431
VANDALISM,221,0.0014752117696533586
ABDW,209,0.0013951097731110947
MV ACCIDENT,189,0.0012616064455406551
INJURED PERSON,178,0.0011881796153769132
STOLEN MV,155,0.0010346507886709077
THREATS,150,0.0010012749567782978
A D,122,0.0008143702981796821
SICK ASSIST,99,0.0006608414714736765
SEARCH WARRANT EXECUTED,82,0.0005473636430388027
ASSAULT,82,0.0005473636430388027
OVERDOSE,80,0.0005340133102817588
OPEN & GROSS,70,0.00046726164649653893
INDECENT EXPOSURE,58,0.0003871596499542751
OUI,56,0.00037380931719723117
HARASSMENT,55,0.00036713415081870916
ATTEMPTED B&E,49,0.00032708315254757726
HOME INVASION,49,0.00032708315254757726
SEX-ASSAULT,46,0.0003070576534120113
ARREST WARRANT EXECUTION,44,0.0002937073206549673
RECEIVING,36,0.00024030598962679144
DANGEROUS WEAPON,33,0.0002202804904912255
PROPERTY,30,0.00020025499135565953
SEXUAL OFFENDER,30,0.00020025499135565953
GRAFFITI,30,0.00020025499135565953
IMPERSONATION,28,0.00018690465859861558
HOMICIDE,27,0.00018022949222009358
USING MV W,25,0.00016687915946304963
