Unique Values,Count,Percentage
4771,8670,0.057873692501785604
485,7285,0.04862858706753266
1350,4041,0.02697434733560734
543,3583,0.02391712113424427
4562,3562,0.02377694264029531
2893,2216,0.014792168694804719
1389,2115,0.014117976890573997
1020,2080,0.013884346067325729
822,2050,0.013684091075970068
4124,2025,0.013517211916507019
163,1646,0.010987323859047186
4762,1535,0.010246380391031247
3272,1483,0.009899271739348103
2104,1423,0.009498761756636784
2122,1361,0.00908490144116842
1839,1194,0.00797014865595525
3434,1167,0.007789919163735156
3094,1098,0.0073293326836171395
4402,1093,0.00729595685172453
1023,1084,0.007235880354317831
529,1084,0.007235880354317831
4700,1032,0.006888771702634688
2326,901,0.006014324907048309
37,896,0.005980949075155699
506,714,0.0047660687942646975
3844,706,0.0047126674632365214
3727,693,0.0046258903003157355
4085,688,0.004592514468423126
68,678,0.004525762804637906
1438,633,0.004225380317604417
1033,606,0.0040451508253843225
2346,605,0.004038475659005801
2065,573,0.0038248703348930974
106,529,0.0035311630142381297
2096,522,0.003484436849588476
134,514,0.0034310355185603
2294,504,0.00336428385477508
2974,489,0.0032641563590972505
4740,479,0.0031974046953120307
2281,478,0.0031907295289335088
1600,454,0.003030525535848981
3426,449,0.0029971497039563712
4687,423,0.0028235953781147994
135,414,0.0027635188807081015
2336,407,0.0027167927160584478
531,401,0.002676741717787316
659,397,0.002650041052273228
4965,392,0.002616665220380618
4203,386,0.0025766142221094863
361,380,0.002536563223838354
4571,379,0.002529888057459832
720,377,0.0025165377247027883
3339,370,0.0024698115600531342
4063,364,0.0024297605617820024
2800,363,0.0024230853954034805
5005,358,0.0023897095635108706
3239,353,0.0023563337316182607
2907,351,0.0023429833988612165
1044,350,0.0023363082324826946
3274,346,0.0023096075669686066
2636,341,0.0022762317350759967
856,337,0.0022495310695619087
4200,328,0.0021894545721552108
3123,324,0.002162753906641123
3957,320,0.002136053241127035
4182,320,0.002136053241127035
4345,317,0.002116027741991469
1173,315,0.0021026774092344253
1441,307,0.0020492760782062493
1584,306,0.0020426009118277274
2667,304,0.002029250579070683
418,300,0.0020025499135565956
1896,300,0.0020025499135565956
232,295,0.0019691740816639857
1233,295,0.0019691740816639857
4356,294,0.0019624989152854633
190,292,0.0019491485825284195
1772,291,0.0019424734161498976
875,291,0.0019424734161498976
3283,283,0.0018890720851217216
1206,279,0.0018623714196076336
1535,279,0.0018623714196076336
4331,278,0.0018556962532291117
786,273,0.0018223204213365018
1133,271,0.0018089700885794578
5057,270,0.001802294922200936
3293,268,0.001788944589443892
2589,268,0.001788944589443892
3121,267,0.0017822694230653698
4828,263,0.001755568757551282
1578,262,0.00174889359117276
2958,259,0.001728868092037194
4035,258,0.001722192925658672
2836,257,0.00171551775928015
4731,256,0.001708842592901628
873,256,0.001708842592901628
2359,255,0.001702167426523106
4333,254,0.001695492260144584
3256,254,0.001695492260144584
4892,252,0.00168214192738754
1445,247,0.0016487660954949302
814,246,0.0016420909291164083
1813,244,0.0016287405963593643
1351,243,0.0016220654299808422
3355,234,0.0015619889325741445
2173,231,0.0015419634334385784
2118,229,0.0015286131006815346
1979,229,0.0015286131006815346
3607,224,0.0014952372687889247
1207,223,0.0014885621024104026
2513,220,0.0014685366032748367
4742,218,0.0014551862705177927
2302,217,0.0014485111041392708
3290,216,0.0014418359377607486
2056,215,0.0014351607713822268
731,213,0.0014218104386251827
4645,211,0.0014084601058681387
262,210,0.0014017849394896168
4787,208,0.0013884346067325728
4968,205,0.001368409107597007
3556,205,0.001368409107597007
364,205,0.001368409107597007
249,205,0.001368409107597007
2275,204,0.0013617339412184848
2797,204,0.0013617339412184848
2949,202,0.0013483836084614408
630,202,0.0013483836084614408
4987,202,0.0013483836084614408
2805,202,0.0013483836084614408
4045,198,0.001321682942947353
1256,197,0.001315007776568831
4730,191,0.0012749567782976991
1196,188,0.001254931279162133
3089,187,0.0012482561127836111
3790,187,0.0012482561127836111
1803,187,0.0012482561127836111
4870,185,0.0012349057800265671
1832,182,0.0012148802808910012
109,180,0.0012015299481339572
2719,180,0.0012015299481339572
1373,179,0.0011948547817554353
1442,179,0.0011948547817554353
4549,178,0.0011881796153769132
281,176,0.0011748292826198692
2929,174,0.0011614789498628254
141,174,0.0011614789498628254
4724,173,0.0011548037834843033
2860,173,0.0011548037834843033
2538,171,0.0011414534507272593
2052,171,0.0011414534507272593
1436,169,0.0011281031179702155
3330,168,0.0011214279515916934
3222,168,0.0011214279515916934
4732,167,0.0011147527852131715
796,166,0.0011080776188346494
2526,165,0.0011014024524561275
425,164,0.0010947272860776054
714,164,0.0010947272860776054
623,164,0.0010947272860776054
723,163,0.0010880521196990835
4754,163,0.0010880521196990835
512,162,0.0010813769533205616
3401,162,0.0010813769533205616
3009,159,0.0010613514541849955
439,158,0.0010546762878064736
1307,158,0.0010546762878064736
2332,158,0.0010546762878064736
3944,158,0.0010546762878064736
1606,157,0.0010480011214279517
4295,156,0.0010413259550494296
427,154,0.0010279756222923856
4739,154,0.0010279756222923856
2665,154,0.0010279756222923856
4370,154,0.0010279756222923856
2117,154,0.0010279756222923856
978,154,0.0010279756222923856
4493,152,0.0010146252895353416
4872,152,0.0010146252895353416
2680,150,0.0010012749567782978
3382,150,0.0010012749567782978
1029,149,0.0009945997903997757
3560,148,0.0009879246240212538
1786,147,0.0009812494576427317
1199,144,0.0009612239585071658
4894,142,0.0009478736257501219
2507,142,0.0009478736257501219
526,141,0.0009411984593715999
1854,140,0.0009345232929930779
1507,140,0.0009345232929930779
237,140,0.0009345232929930779
1683,140,0.0009345232929930779
3031,140,0.0009345232929930779
207,139,0.0009278481266145559
4405,139,0.0009278481266145559
779,139,0.0009278481266145559
4722,138,0.0009211729602360339
5007,138,0.0009211729602360339
54,136,0.00090782262747899
2298,136,0.00090782262747899
4207,135,0.000901147461100468
3605,134,0.000894472294721946
959,134,0.000894472294721946
3269,133,0.000887797128343424
3487,132,0.000881121961964902
1987,132,0.000881121961964902
4646,132,0.000881121961964902
1880,131,0.00087444679558638
3416,131,0.00087444679558638
1312,131,0.00087444679558638
1490,130,0.000867771629207858
3206,129,0.000861096462829336
3314,129,0.000861096462829336
4980,129,0.000861096462829336
2879,128,0.000854421296450814
3083,128,0.000854421296450814
2544,126,0.00084107096369377
828,124,0.0008277206309367261
1845,124,0.0008277206309367261
4683,123,0.0008210454645582041
598,123,0.0008210454645582041
2448,122,0.0008143702981796821
2476,122,0.0008143702981796821
2070,122,0.0008143702981796821
1334,122,0.0008143702981796821
3877,120,0.0008010199654226381
3020,120,0.0008010199654226381
1142,120,0.0008010199654226381
642,120,0.0008010199654226381
2908,119,0.0007943447990441161
1177,119,0.0007943447990441161
4583,119,0.0007943447990441161
2961,119,0.0007943447990441161
308,119,0.0007943447990441161
4758,118,0.0007876696326655942
4026,118,0.0007876696326655942
3622,117,0.0007809944662870722
2305,117,0.0007809944662870722
5021,116,0.0007743192999085502
4270,116,0.0007743192999085502
3195,116,0.0007743192999085502
285,115,0.0007676441335300282
3431,113,0.0007542938007729842
1043,113,0.0007542938007729842
4719,112,0.0007476186343944623
3026,112,0.0007476186343944623
1668,111,0.0007409434680159403
3975,111,0.0007409434680159403
4282,110,0.0007342683016374183
4784,110,0.0007342683016374183
4324,109,0.0007275931352588963
1204,109,0.0007275931352588963
2331,109,0.0007275931352588963
3395,109,0.0007275931352588963
2058,106,0.0007075676361233304
716,106,0.0007075676361233304
2525,106,0.0007075676361233304
619,104,0.0006942173033662864
916,104,0.0006942173033662864
2102,104,0.0006942173033662864
1583,103,0.0006875421369877644
2954,103,0.0006875421369877644
2227,103,0.0006875421369877644
