Unique Values,Count,Percentage
22,9151,0.06108444752985468
21,8612,0.057486532851831335
23,8592,0.05735302952426089
20,8259,0.05513019912021307
24,7547,0.05037748065870542
19,7395,0.049362855369170074
25,6846,0.04569818902736151
26,6010,0.04011774993491713
18,5973,0.03987076877891181
27,5047,0.033689564712400456
28,4578,0.030558911680873647
17,4371,0.029177152240519595
29,4217,0.02814917661822721
30,4025,0.02686754467355099
-1,3689,0.024624688770367602
31,3527,0.02354331181704704
32,3495,0.023329706492934338
33,3153,0.021046799591479818
34,2915,0.019458109993391585
16,2889,0.019284555667550014
35,2560,0.01708842592901628
36,2360,0.015753392653311885
37,2081,0.01389102123370425
38,1937,0.012929797275197084
39,1767,0.011795018990848347
41,1743,0.01163481499776382
42,1695,0.011314407011594764
44,1693,0.01130105667883772
15,1689,0.011274356013323631
45,1675,0.011180903684024324
40,1662,0.011094126521103538
43,1652,0.011027374857318318
46,1587,0.01059348904271439
47,1524,0.010172953560867505
48,1426,0.00951878725577235
49,1422,0.009492086590258263
51,1181,0.007883371493034464
50,1163,0.007763218498221068
52,1100,0.007342683016374183
53,986,0.006581714049222677
54,890,0.0059408980768845664
14,704,0.004699317130479477
55,665,0.00443898564171712
56,596,0.003978399161599103
57,517,0.003451061017695866
58,488,0.0032574811927187286
59,382,0.0025499135565953982
60,322,0.002149403573884079
61,240,0.0016020399308452763
13,234,0.0015619889325741445
0,202,0.0013483836084614408
62,185,0.0012349057800265671
63,158,0.0010546762878064736
64,131,0.00087444679558638
65,93,0.0006207904732025446
66,93,0.0006207904732025446
12,85,0.0005673891421743687
67,73,0.0004872871456321049
69,58,0.0003871596499542751
68,54,0.00036045898444018716
70,50,0.00033375831892609926
1,46,0.0003070576534120113
73,37,0.00024698115600531344
11,36,0.00024030598962679144
71,36,0.00024030598962679144
72,24,0.00016020399308452763
75,22,0.00014685366032748365
77,20,0.0001335033275704397
74,20,0.0001335033275704397
76,18,0.00012015299481339572
79,15,0.00010012749567782977
80,11,7.342683016374182e-05
78,10,6.675166378521985e-05
7,7,4.6726164649653896e-05
81,6,4.005099827113191e-05
10,6,4.005099827113191e-05
127,6,4.005099827113191e-05
4,5,3.3375831892609925e-05
9,5,3.3375831892609925e-05
2,4,2.670066551408794e-05
83,4,2.670066551408794e-05
8,4,2.670066551408794e-05
84,3,2.0025499135565953e-05
93,3,2.0025499135565953e-05
6,3,2.0025499135565953e-05
124,2,1.335033275704397e-05
133,2,1.335033275704397e-05
91,2,1.335033275704397e-05
85,2,1.335033275704397e-05
82,2,1.335033275704397e-05
3,2,1.335033275704397e-05
88,2,1.335033275704397e-05
94,2,1.335033275704397e-05
128,2,1.335033275704397e-05
137,2,1.335033275704397e-05
111,1,6.675166378521985e-06
145,1,6.675166378521985e-06
89,1,6.675166378521985e-06
130,1,6.675166378521985e-06
99,1,6.675166378521985e-06
86,1,6.675166378521985e-06
129,1,6.675166378521985e-06
100,1,6.675166378521985e-06
119,1,6.675166378521985e-06
140,1,6.675166378521985e-06
105,1,6.675166378521985e-06
138,1,6.675166378521985e-06
125,1,6.675166378521985e-06
134,1,6.675166378521985e-06
240,1,6.675166378521985e-06
114,1,6.675166378521985e-06
126,1,6.675166378521985e-06
156,1,6.675166378521985e-06
136,1,6.675166378521985e-06
146,1,6.675166378521985e-06
97,1,6.675166378521985e-06
243,1,6.675166378521985e-06
92,1,6.675166378521985e-06
5,1,6.675166378521985e-06
