Unique Values,Count,Percentage
16,44601,0.29771909564845905
3,22664,0.15128597080282227
1,16309,0.10886528846731505
4,14276,0.09529467521977986
8,12472,0.08325267507292619
5,10714,0.07151773257948454
6,8236,0.054976670293507064
2,5023,0.03352936071931593
9,4939,0.03296864674352008
10,3293,0.021981322884472895
11,3136,0.020933321763044944
7,2262,0.01509922634821673
25,512,0.003417685185803256
9999,477,0.003184054362554987
17,335,0.002236180736804865
20,283,0.0018890720851217216
22,68,0.000453911313739495
12,58,0.0003871596499542751
23,54,0.00036045898444018716
19,47,0.00031373281979053325
13,24,0.00016020399308452763
14,8,5.340133102817588e-05
18,8,5.340133102817588e-05
21,5,3.3375831892609925e-05
24,4,2.670066551408794e-05
15,1,6.675166378521985e-06
