Unique Values,Count,Percentage
11610.0,15850,0.10580138709957346
11756.0,14677,0.09797141693756717
8949.0,9996,0.06672496311970576
86124.0,9807,0.0654633566741651
10739.0,8707,0.058120673657790924
11312.0,7214,0.0481546502546576
8662.0,6498,0.043375231127635853
10132.0,5786,0.038622512666128206
8695.0,5596,0.03735423105420903
11689.0,4015,0.026800793009765768
11826.0,3803,0.025385657737519107
11596.0,3790,0.025298880574598323
8835.0,3727,0.024878345092751438
10251.0,3159,0.02108685058975095
11612.0,2936,0.01959828848734055
11401.0,2505,0.01672129177819757
9021.0,2264,0.015112576680973773
10166.0,2179,0.014545187538799404
86201.0,2075,0.013850970235433118
8773.0,2045,0.013650715244077459
8022.0,1957,0.013063300602767523
8311.0,1916,0.012789618781248123
9965.0,1665,0.011114152020239104
10402.0,1660,0.011080776188346495
10591.0,1628,0.010867170864233791
8237.0,1496,0.009986048902268889
11359.0,1457,0.009725717413506531
10060.0,1454,0.009705691914370965
12283.0,1419,0.009472061091122697
86199.0,1101,0.007349358182752705
9375.0,988,0.006595064381979721
8180.0,952,0.006354758392352929
7358.0,928,0.006194554399268402
6620.0,873,0.005827420248449693
9600.0,862,0.005753993418285951
8971.0,818,0.005460286097630983
10534.0,818,0.005460286097630983
OTHER,667,0.004452335974474164
10965.0,533,0.0035578636797522177
9724.0,518,0.003457736184074388
8940.0,471,0.0031440033642838546
9022.0,469,0.003130653031526811
10548.0,452,0.003017175203091937
7445.0,452,0.003017175203091937
9970.0,416,0.0027768692134651457
8830.0,411,0.0027434933815725358
10845.0,387,0.002583289388488008
8740.0,340,0.002269556568697475
9012.0,333,0.002222830404047821
7998.0,319,0.0021293780747485133
9034.0,293,0.0019558237489069414
1317.0,278,0.0018556962532291117
11295.0,260,0.001735543258415716
10578.0,250,0.001668791594630496
10502.0,238,0.0015886895980882323
11185.0,224,0.0014952372687889247
11105.0,178,0.0011881796153769132
11613.0,169,0.0011281031179702155
54108.0,168,0.0011214279515916934
8765.0,167,0.0011147527852131715
9303.0,157,0.0010480011214279517
10948.0,147,0.0009812494576427317
8488.0,145,0.0009678991248856878
9378.0,141,0.0009411984593715999
10800.0,125,0.000834395797315248
9359.0,122,0.0008143702981796821
8718.0,122,0.0008143702981796821
8195.0,121,0.0008076951318011601
8824.0,113,0.0007542938007729842
8954.0,113,0.0007542938007729842
11256.0,112,0.0007476186343944623
8656.0,107,0.0007142428025018523
10421.0,96,0.0006408159723381105
11434.0,87,0.0005807394749314127
11960.0,86,0.0005740643085528907
11947.0,73,0.0004872871456321049
74877.0,73,0.0004872871456321049
10030.0,71,0.00047393681287506093
10259.0,70,0.00046726164649653893
11592.0,60,0.00040050998271131907
10597.0,59,0.0003938348163327971
8721.0,57,0.0003804844835757531
9761.0,57,0.0003804844835757531
7467.0,50,0.00033375831892609926
7329.0,49,0.00032708315254757726
10090.0,48,0.00032040798616905525
11707.0,48,0.00032040798616905525
10533.0,45,0.0003003824870334893
10305.0,44,0.0002937073206549673
95185.0,44,0.0002937073206549673
10537.0,43,0.00028703215427644535
9774.0,40,0.0002670066551408794
9040.0,40,0.0002670066551408794
8645.0,39,0.0002603314887623574
12138.0,38,0.0002536563223838354
8363.0,35,0.00023363082324826947
11738.0,34,0.0002269556568697475
7324.0,32,0.0002136053241127035
8312.0,32,0.0002136053241127035
7344.0,30,0.00020025499135565953
9805.0,29,0.00019357982497713756
9369.0,28,0.00018690465859861558
9266.0,27,0.00018022949222009358
8850.0,27,0.00018022949222009358
10511.0,27,0.00018022949222009358
9342.0,27,0.00018022949222009358
1083.0,25,0.00016687915946304963
