Unique Values,Count,Percentage
IO,51090,0.3410342502786882
O,30364,0.20268475191744154
IOF,25466,0.16998978699544087
I,15543,0.10375211102136721
IOFS,10325,0.0689210928582395
OF,7577,0.05057773565006108
F,2287,0.015266105507679779
OFS,2010,0.013417084420829188
IOS,1553,0.010366533385844642
IF,1275,0.00851083713261553
S,893,0.0059609235760201325
OS,412,0.0027501685479510577
FS,383,0.00255658872297392
IS,377,0.0025165377247027883
IFS,189,0.0012616064455406551
PI,20,0.0001335033275704397
PIO,14,9.345232929930779e-05
PIOFS,8,5.340133102817588e-05
PIOF,7,4.6726164649653896e-05
P,6,4.005099827113191e-05
PO,4,2.670066551408794e-05
PIF,2,1.335033275704397e-05
PIOS,1,6.675166378521985e-06
PIS,1,6.675166378521985e-06
PF,1,6.675166378521985e-06
POF,1,6.675166378521985e-06
