Unique Values,Count,Percentage
NO VEHICLE INVOLVED,103670,0.6920144984613742
GREY,11420,0.07623040004272107
BLACK,9976,0.06659145979213532
WHITE,5654,0.037741390704163304
BLUE,4892,0.03265491392372955
RED,4399,0.02936405689911821
GREEN,4044,0.026994372834742906
BROWN,2662,0.017769292899625522
SILVER,1192,0.007956798323198205
TAN,606,0.0040451508253843225
GOLD,472,0.003150678530662377
OTHER,317,0.002116027741991469
YELLOW,255,0.001702167426523106
MAROON,123,0.0008210454645582041
ORANGE,74,0.0004939623120106269
BEIGE,53,0.0003537838180616652
