,Dept_11-00091,Dept_23-00089,Dept_24-00013,Dept_24-00098,Dept_35-00016,Dept_35-00103,Dept_37-00027,Dept_37-00049,Dept_49-00009,Dept_49-00033,Dept_49-00035,Dept_49-00081
TYPE_OF_FORCE,0,1,1,0,0,0,1,1,1,0,0,0
UNIQUE_IDENT,1,1,1,0,1,1,1,1,1,1,1,1
SUBJECT_AGE,0,1,1,1,1,0,0,0,0,1,0,0
SECTOR,0,0,0,0,0,0,0,1,0,0,0,0
OFFICER_DEATH,0,0,0,0,1,0,0,0,0,0,0,0
SEARCH_CONDUCTED_VEHICLE,0,0,0,1,0,0,0,0,0,0,0,0
OFFICER_ETHNICITY,1,0,0,0,1,0,0,0,0,0,0,0
SUBJECT_ISSUED_CITATION,0,0,0,1,0,0,0,0,0,0,0,0
OFFICER_ASSIGNMENT,1,1,0,0,0,0,0,0,0,0,0,0
SUBJECT_HOSPITALIZATION,0,1,0,0,0,0,0,0,0,0,0,0
FORCE_EFFECTIVE,0,0,0,0,0,0,0,1,0,0,0,0
DIVISION,0,0,0,0,0,0,0,1,0,0,0,0
Unnamed: 19,0,0,0,0,0,0,1,0,0,0,0,0
SUBJECT_DETAILS,1,1,0,0,0,0,0,0,0,0,0,0
DISPOSITION,1,0,0,0,0,0,0,0,0,0,0,1
UNKNOWN_FIELD_TYPE.2,0,0,0,0,0,0,0,0,0,1,0,0
SUBJECT_RACT,0,1,0,0,0,0,0,0,0,0,0,0
SUBJECT_ID,0,0,0,0,0,0,1,1,1,0,0,0
CROSS_STREET,0,0,0,0,0,0,0,0,0,1,0,0
REASON_FOR_FORCE.1,0,0,0,0,0,0,1,0,0,0,0,0
SUBJECT_POSSESSED_WEAPON,0,0,0,0,1,0,0,0,0,0,0,0
VEHICLE_DETAILS,1,0,0,0,0,0,0,0,0,0,0,0
OFFICER_ASSIGNMENT.1,1,0,0,0,0,0,0,0,0,0,0,0
LOCATION_DISTRICT,1,1,1,1,0,0,1,1,1,1,1,1
SEARCH_CONDUCTED,1,0,0,0,0,0,0,0,0,0,0,0
VEHICLE_MODEL,1,0,0,0,0,0,0,0,0,0,0,0
INCIDENT_REASON_DESCRIPTION,0,0,0,0,0,0,0,0,0,0,0,1
LOCATION_LONGITUDE,0,0,1,1,1,1,1,1,0,1,0,1
NUMBER_OF_SUBJECTS,0,0,0,0,1,0,0,0,0,0,0,0
CHARGE,0,1,0,0,0,0,0,0,0,1,0,0
LOCATION_CITY,1,0,0,0,0,0,1,1,0,0,1,0
CRIME_TYPE,0,0,0,0,0,0,0,0,0,0,1,0
OFFICER_INJURY,0,1,0,0,1,0,0,1,0,0,0,0
Y_COORDINATE,0,0,0,0,0,0,1,0,0,0,0,0
INCIDENT_REASON.1,1,0,0,0,0,0,0,0,0,0,0,0
SUBJECT_GENDER,1,1,1,1,1,1,1,1,1,1,0,0
NUMBER_EC_CYCLES,0,0,0,0,0,0,1,1,0,0,0,0
SEARCH_REASON,1,0,0,0,0,0,0,0,0,0,0,0
OFFICER_INJURY_TYPE,0,0,0,0,0,0,1,1,0,0,0,0
VEHICLE_MAKE,1,0,0,0,0,0,0,0,0,0,0,0
SUBJECT_DEATH,0,0,0,0,1,0,0,0,0,0,0,0
LOCATION_STATE,0,0,0,0,0,0,1,1,0,0,1,0
STREET_TYPE,0,0,0,0,0,0,0,1,0,0,0,0
OFFICER_YEARS_ON_FORCE,0,1,0,0,1,0,1,1,0,0,0,0
LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,1,0,0,0,1,1,1,1,0,1,1,1
SUBJECT_RACE,1,0,1,1,1,1,1,1,1,1,0,0
OFFICER_ID,1,1,0,0,0,0,0,1,1,0,0,0
LOCATION_LATITUDE,0,0,1,1,1,1,1,1,0,1,0,1
LOCATION_DISTRICT.1,1,1,0,0,0,0,1,0,1,0,0,0
Y_COORDINATE.1,0,0,0,0,0,0,1,0,0,0,0,0
SEARCH_CONDUCTED_PERSON,0,0,0,1,0,0,0,0,0,0,0,0
REPORTING_AREA,0,0,0,0,0,0,0,1,0,0,0,0
UNKNOWN_FIELD_TYPE.1,1,0,0,0,0,0,0,0,0,1,0,0
LOCATION_DISTRICT.2,0,0,0,0,0,0,0,0,1,0,0,0
UNKNOWN_FIELD_TYPE,1,0,0,0,0,0,0,0,0,1,0,0
SUBJECT_INJURY,0,1,1,0,1,0,0,1,0,0,0,0
OFFICER_GENDER,0,1,0,0,1,0,0,1,0,0,0,0
SUBJECT_INJURY_TYPE,0,0,0,0,0,1,1,1,0,0,0,0
SUBJECT_AGE_IN_YEARS,0,0,0,0,0,1,0,0,0,0,0,0
SUBJECT_ROLE,0,0,0,0,0,0,1,0,0,0,0,0
INCIDENT_REASON,1,1,0,1,0,0,1,1,0,1,1,1
VEHICLE_YEAR,1,0,0,0,0,0,0,0,0,0,0,0
VEHICLE_DETAILS.1,1,0,0,0,0,0,0,0,0,0,0,0
OFFICER_HIRE_DATE,0,0,0,0,0,0,0,1,0,0,0,0
BEAT,0,0,0,0,0,0,0,1,0,0,0,0
LOCATION_TYPE,0,0,0,0,0,0,0,0,0,1,0,0
SUBJECT_WAS_ARRESTED,0,1,0,0,0,0,0,1,0,0,0,0
LOCATION_STREET_NUMBER,1,0,0,0,0,0,0,0,0,0,0,0
SUBJECT_OFFENSE,0,0,0,0,0,0,0,1,0,0,0,0
SUBJECT_DETAILS.2,1,0,0,0,0,0,0,0,0,0,0,0
SHIFT,0,1,0,0,0,0,0,0,0,0,0,0
SUBJECT_DETAILS.1,1,1,0,0,0,0,0,0,0,0,0,0
VEHICLE_COLOR,1,0,0,0,0,0,0,0,0,0,0,0
REASON_FOR_FORCE,0,1,1,0,0,0,1,1,0,0,0,0
NUMBER_OF_OFFICERS,0,0,0,0,1,0,0,0,0,0,0,0
STREET_NAME,0,0,0,0,0,0,0,1,0,0,0,0
STREET_DIRECTION,0,0,0,0,0,0,0,1,0,0,0,0
STREET_NUMBER,0,0,0,0,0,0,0,1,0,0,0,0
OFFICER_DETAILS,0,1,0,0,0,0,0,0,0,0,0,0
OFFICER_RACE,1,1,0,0,1,0,0,1,0,0,0,0
Unnamed: 3,0,0,0,0,1,0,0,0,0,0,0,0
OFFICER_AGE,1,1,0,0,1,0,0,0,0,0,0,0
SUBJECT_DESCRIPTION,0,0,0,0,0,0,1,1,0,0,0,0
CHARGE_DESCRIPTION,0,0,0,0,0,0,0,0,0,1,0,0
DATE_AND_TIME,1,1,1,1,1,1,1,1,1,1,1,1
OFFICER_SUPERVISOR,1,0,0,0,0,0,0,0,0,0,0,0
OFFICER_HOSPITALIZATION,0,1,0,0,0,0,0,1,0,0,0,0
WEAPON_OR_TOOL_USED,0,0,1,0,0,0,0,0,0,0,0,0
