,subject_cluster_subject_cluster,vehicle_cluster_vehicle_cluster,location_cluster_location_cluster,officer_cluster_officer_cluster,action_cluster_action_cluster,date_cluster_date_cluster,occurrences,Cluster_kmeans
0,1,24,1,7,9,4,1,1
1,15,0,0,3,53,8,3,7
2,0,0,0,1,3,13,10,6
3,1,0,1,7,24,0,1,1
4,6,7,1,0,17,9,1,0
5,0,0,1,0,55,1,2,5
6,1,0,1,2,0,14,54,2
7,7,2,2,2,17,12,1,2
8,1,12,1,2,0,12,1,2
9,16,0,5,5,68,12,1,4
10,3,0,2,5,5,12,4,4
11,16,0,2,5,0,8,18,4
12,12,0,9,3,10,4,1,7
13,4,0,0,3,51,4,1,7
14,1,0,2,0,5,4,4,0
15,0,0,3,5,0,8,1,4
16,0,0,6,3,51,4,1,7
17,1,0,1,0,0,4,47,0
18,5,0,0,0,0,1,1,0
19,2,0,7,5,10,1,1,4
20,5,0,6,0,41,13,1,0
21,0,0,3,0,22,5,1,0
22,0,0,1,7,48,5,1,1
23,15,0,1,0,64,11,1,0
24,1,33,11,7,7,11,1,1
25,0,0,5,7,48,5,1,1
26,1,0,5,0,55,13,2,5
27,1,0,3,1,11,8,30,9
28,1,0,4,0,20,3,1,0
29,1,10,1,1,21,8,1,9
30,1,0,1,6,5,5,26,3
31,0,0,0,3,46,9,1,7
32,9,0,2,5,0,8,1,4
33,1,0,1,6,45,5,2,5
34,7,0,1,6,45,5,1,3
35,6,0,1,6,6,5,1,3
36,5,0,0,3,0,0,2,5
37,5,0,2,3,5,0,1,4
38,14,0,2,3,6,0,3,4
39,8,0,7,3,11,0,1,7
40,0,0,1,3,11,0,2,5
41,4,0,2,3,6,8,51,4
42,11,0,2,5,0,8,3,4
43,0,0,2,3,6,8,44,4
44,3,0,5,2,5,1,1,2
45,1,66,1,0,13,1,1,0
46,1,28,0,0,18,13,1,0
47,1,25,1,1,20,8,1,9
48,1,0,3,0,3,13,6,0
49,1,44,0,0,18,1,1,0
50,14,5,0,7,0,0,1,1
51,1,0,1,1,32,11,4,9
52,4,0,1,1,0,11,7,6
53,2,0,0,3,11,8,8,7
54,4,0,0,3,1,11,2,5
55,0,0,5,3,1,11,1,7
56,1,0,1,0,1,13,3,0
57,6,0,1,7,1,8,1,1
58,1,0,0,1,0,8,37,9
59,0,77,8,7,72,1,1,1
60,15,0,0,4,11,14,1,8
61,2,0,2,5,0,1,11,4
62,2,0,0,3,53,1,5,7
63,1,32,4,7,17,11,1,1
64,1,0,0,1,5,11,12,9
65,1,0,0,1,28,1,2,5
66,0,0,2,2,0,13,2,5
67,1,0,1,2,10,13,8,2
68,0,0,1,2,10,13,5,2
69,0,9,1,0,17,3,2,0
70,1,0,1,2,0,1,52,2
71,1,0,3,2,56,1,1,2
72,1,0,1,1,5,5,33,9
73,3,0,2,5,3,8,4,4
74,4,0,3,0,40,1,1,0
75,9,0,2,3,14,8,1,4
76,1,0,0,0,0,13,18,0
77,6,30,1,0,0,1,1,0
78,4,0,2,3,73,13,1,4
79,1,34,3,0,59,5,1,0
80,12,0,0,3,59,13,1,7
81,10,0,0,7,38,12,1,1
82,16,0,2,5,25,13,1,4
83,5,21,2,7,25,11,1,1
84,15,0,0,5,0,13,1,7
85,11,0,0,3,11,1,1,7
86,0,0,3,0,0,13,24,0
87,7,2,1,2,17,0,1,2
88,1,0,0,2,10,1,2,5
89,2,0,1,7,38,11,1,1
90,2,0,1,6,0,1,7,3
91,8,17,0,6,33,0,1,3
92,2,0,7,7,52,13,1,1
93,3,0,5,1,3,8,1,6
94,1,24,1,0,5,8,1,0
95,1,0,3,0,5,8,26,0
96,5,0,3,3,19,8,1,7
97,14,0,7,7,63,9,1,1
98,9,0,5,2,0,1,3,2
99,1,0,1,1,46,5,7,9
100,9,9,3,1,5,3,1,6
101,7,51,3,1,20,3,1,6
102,5,36,0,1,0,3,1,6
103,6,0,1,1,0,8,21,6
104,2,0,0,4,54,4,1,8
105,12,0,4,7,48,8,1,1
106,9,0,9,7,48,8,1,1
107,6,71,5,7,0,8,1,1
108,0,66,1,5,20,0,1,4
109,1,0,1,0,0,9,27,0
110,2,0,3,0,9,7,1,0
111,4,0,0,5,0,0,2,5
112,3,0,2,5,10,0,2,5
113,6,0,1,0,0,7,5,0
114,9,0,1,0,6,0,1,0
115,16,46,2,5,6,0,1,4
116,0,0,2,3,14,1,2,5
117,5,38,0,5,0,0,1,7
118,0,0,12,3,14,1,1,7
119,1,66,5,5,20,0,1,9
120,0,0,0,0,0,9,3,0
121,0,82,2,7,2,1,1,1
122,9,0,1,2,3,14,1,2
123,1,0,3,2,0,14,7,2
124,1,15,1,2,13,14,1,2
125,1,21,1,2,13,14,2,2
126,0,0,11,3,6,10,1,7
127,4,0,2,3,6,14,38,4
128,2,87,1,7,53,11,1,1
129,1,0,0,0,5,14,6,0
130,6,0,7,3,6,12,1,7
131,8,0,0,0,0,14,1,0
132,3,0,2,7,47,0,2,5
133,0,0,7,7,14,0,1,1
134,3,0,0,7,14,0,1,1
135,14,0,3,7,14,0,1,1
136,3,0,10,7,14,0,1,1
137,7,29,1,0,68,6,1,0
138,5,0,7,7,1,0,3,1
139,5,25,1,1,17,11,1,6
140,0,0,3,7,30,8,1,1
141,2,0,2,7,54,8,1,1
142,2,0,7,7,24,13,2,5
143,1,9,3,2,3,0,1,2
144,12,0,1,2,81,3,1,2
145,0,0,0,3,6,3,7,7
146,1,54,1,1,13,9,1,9
147,1,0,2,5,5,0,8,4
148,4,0,11,3,68,13,1,7
149,1,0,2,0,46,3,3,0
150,4,0,12,3,11,13,2,5
151,1,0,8,1,0,8,5,9
152,1,82,1,1,18,8,1,9
153,10,26,1,1,43,8,1,6
154,1,7,1,1,7,0,1,9
155,1,83,3,1,3,14,2,9
156,9,42,8,7,0,10,1,1
157,14,0,10,0,45,14,1,0
158,0,0,12,1,10,13,1,6
159,5,37,11,7,7,1,1,1
160,10,0,14,7,8,1,1,1
161,3,0,0,1,5,8,4,6
162,3,13,8,4,13,14,1,8
163,8,0,2,5,77,0,1,4
164,0,0,1,2,20,14,3,2
165,7,24,2,1,13,1,1,6
