,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,subject_Cluster_K_Means,subject_Cluster_GMM,vehicle_Cluster_K_Means,vehicle_Cluster_GMM,location_Cluster_K_Means,location_Cluster_GMM,officer_Cluster_K_Means,officer_Cluster_GMM,action_Cluster_K_Means,action_Cluster_GMM,date_Cluster_K_Means,date_Cluster_GMM
,SEQ_NUM,SEX,PRIORS,DESCRIPTION,COMPLEXION,BASIS,STOP_REASONS,FIOFS_REASONS,VEH_MAKE,VEH_YEAR_NUM,VEH_COLOR,VEH_OCCUPANT,VEH_STATE,SUPERVISOR_ID,OFFICER_ID,OFF_DIST_ID,AGE_AT_FIO_CORRECTED,STREET_ID,CITY,Year,Month,Day,FIOFS_TYPE_P,FIOFS_TYPE_O,FIOFS_TYPE_S,FIOFS_TYPE_I,FIOFS_TYPE_F,SEARCH_P,SEARCH_V,OUTCOME_S,OUTCOME_F,OUTCOME_O,,,,,,,,,,,,
29180,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,PUBLIC DRINKING,HONDA,2002.0,BLACK,PASSENGER,MA,9375.0,103781,4,0.17142857142857143,485,Mattapan,0.75,0.4545454545454545,0.6,0,1,0,1,0,1,0,0,1,0,2,26,2,6,0,19,3,1,2,23,1,49
6667,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,92675,3,0.18571428571428572,4771,Boston,0.5,0.7272727272727273,0.16666666666666669,0,1,0,1,0,1,0,0,1,0,1,28,0,0,0,26,10,1,5,2,6,13
62733,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,86124.0,86124,16,0.18571428571428572,485,OTHER,0.25,0.7272727272727273,0.5,0,1,0,0,0,1,0,0,1,0,1,1,6,4,2,18,3,1,0,19,14,31
128573,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,107106,16,0.18571428571428572,OTHER,Roxbury,0.75,0.8181818181818182,0.5666666666666667,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,7,7,1,5,2,14,25
87722,OTHER,1,YES,White,Fair,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,75660,16,0.14285714285714285,1350,South Boston,0.25,0.36363636363636365,0.23333333333333334,0,1,0,1,0,1,0,0,1,0,12,27,0,0,2,0,3,1,5,2,7,46
19991,OTHER,1,YES,White,OTHER,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,GREY,DRIVER,MA,8662.0,10732,6,0.2142857142857143,OTHER,South Boston,0.75,0.0,0.3666666666666667,0,1,0,1,0,1,0,0,1,1,13,17,5,10,0,6,3,4,2,3,4,30
9897,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,DRUGS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,107106,3,0.18571428571428572,485,Roxbury,0.5,0.0,0.06666666666666668,0,1,0,1,1,1,0,0,1,0,1,28,0,0,0,8,7,1,1,23,4,30
20587,OTHER,1,YES,White,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,11312.0,103765,16,0.32857142857142857,485,West Roxbury,0.5,0.36363636363636365,0.6,0,1,0,0,0,1,1,0,1,0,6,3,4,8,2,47,3,4,0,18,1,1
96735,OTHER,1,NO,White,Light,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,102672,16,0.17142857142857143,1350,South Boston,0.75,0.8181818181818182,0.3,0,1,0,1,1,1,0,0,1,0,10,19,0,0,2,0,3,4,6,18,12,40
143511,OTHER,1,YES,Hispanic,Light,CONSENT SEARCH,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,98656,16,0.14285714285714285,OTHER,Hyde Park,0.25,0.2727272727272727,0.2,0,1,0,1,0,1,0,0,1,0,7,5,0,0,2,28,2,1,3,15,10,12
89643,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,102400,6,0.2571428571428571,OTHER,South Boston,0.5,0.5454545454545454,0.3333333333333333,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6,6,4,3,15,8,0
