,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,occurances,Cluster_kmeans
,SEQ_NUM,SEX,PRIORS,DESCRIPTION,COMPLEXION,BASIS,STOP_REASONS,FIOFS_REASONS,VEH_MAKE,VEH_YEAR_NUM,VEH_COLOR,VEH_OCCUPANT,VEH_STATE,SUPERVISOR_ID,OFFICER_ID,OFF_DIST_ID,AGE_AT_FIO_CORRECTED,STREET_ID,CITY,Year,Month,Day,FIOFS_TYPE_P,FIOFS_TYPE_O,FIOFS_TYPE_S,FIOFS_TYPE_I,FIOFS_TYPE_F,SEARCH_P,SEARCH_V,OUTCOME_S,OUTCOME_F,OUTCOME_O,occurances,
0,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,PUBLIC DRINKING,HONDA,2002.0,BLACK,PASSENGER,MA,9375.0,103781,4,0.17142857142857143,485,Mattapan,0.75,0.4545454545454545,0.6,0,1,0,1,0,1,0,0,1,0,1,7
1,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,92675,3,0.18571428571428572,4771,Boston,0.5,0.7272727272727273,0.16666666666666669,0,1,0,1,0,1,0,0,1,0,1,6
2,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,86124.0,86124,16,0.18571428571428572,485,OTHER,0.25,0.7272727272727273,0.5,0,1,0,0,0,1,0,0,1,0,1,13
3,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,107106,16,0.18571428571428572,OTHER,Roxbury,0.75,0.8181818181818182,0.5666666666666667,0,1,0,1,0,1,0,0,1,0,1,9
4,OTHER,1,YES,White,Fair,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,75660,16,0.14285714285714285,1350,South Boston,0.25,0.36363636363636365,0.23333333333333334,0,1,0,1,0,1,0,0,1,0,1,14
5,OTHER,1,YES,White,OTHER,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,GREY,DRIVER,MA,8662.0,10732,6,0.2142857142857143,OTHER,South Boston,0.75,0.0,0.3666666666666667,0,1,0,1,0,1,0,0,1,1,1,11
6,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,DRUGS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,107106,3,0.18571428571428572,485,Roxbury,0.5,0.0,0.06666666666666668,0,1,0,1,1,1,0,0,1,0,1,6
7,OTHER,1,YES,White,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,11312.0,103765,16,0.32857142857142857,485,West Roxbury,0.5,0.36363636363636365,0.6,0,1,0,0,0,1,1,0,1,0,1,12
8,OTHER,1,NO,White,Light,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,102672,16,0.17142857142857143,1350,South Boston,0.75,0.8181818181818182,0.3,0,1,0,1,1,1,0,0,1,0,1,14
