Unique Values,Count,Percentage
3,5400,0.03604589844401872
6,5329,0.03557196163114366
4,5176,0.03455066117522979
9,5130,0.03424360352181778
8,5122,0.0341902021907896
14,5080,0.033909845202891684
28,5065,0.03380971770721385
21,5044,0.03366953921326489
12,5008,0.0334292332236381
23,4972,0.03318892723401131
7,4952,0.03305542390644087
20,4936,0.03294862124438452
5,4920,0.03284181858232817
2,4919,0.03283514341594964
13,4900,0.032708315254757724
11,4894,0.03266826425648659
22,4890,0.032641563590972505
1,4870,0.03250806026340206
27,4835,0.032274429440153796
10,4791,0.03198072211949883
17,4788,0.031960696620363264
15,4765,0.031807167793657255
19,4742,0.03165363896695125
26,4713,0.03146005914197411
24,4712,0.03145338397559559
18,4707,0.03142000814370298
16,4687,0.03128650481613254
25,4685,0.0312731544833755
30,4497,0.030018223204213365
29,4463,0.029791267547343618
31,2817,0.01880394368829643
