Unique Values,Count,Percentage
NO VEHICLE INVOLVED,103278,0.6893978332409936
HONDA,7652,0.051078373128450226
NISSAN,4734,0.031600237635923074
TOYOTA,4148,0.027688590138109193
FORD,4119,0.027495010313132055
CHEVROLET,3550,0.023696840643753044
ACURA,2815,0.018790593355539387
DODGE,2525,0.01685479510576801
BMW,1450,0.009678991248856877
INFINITI,1390,0.009278481266145559
VOLKSWAGEN,1074,0.007169128690532611
HYUNDAI,1072,0.007155778357775568
CHRYSLER,1014,0.006768618707821293
MERCEDES BENZ,966,0.006448210721652237
CADILLAC,904,0.006034350406183874
LEXUS,869,0.0058007195829356045
JEEP,862,0.005753993418285951
AUDI,783,0.005226655274382714
MAZDA,686,0.004579164135666082
MITSUBISHI,619,0.004131927988305108
MERCURY,613,0.004091876990033976
BUICK,555,0.0037047173400797015
PONTIAC,522,0.003484436849588476
LINCOLN,519,0.00346441135045291
VOLVO,492,0.0032841818582328166
KIA,484,0.0032307805272046406
GMC,331,0.002209480071290777
SATURN,306,0.0020426009118277274
OLDSMOBILE,275,0.0018356707540935458
SUBARU,233,0.0015553137661956224
SAAB,209,0.0013951097731110947
OTHER,186,0.0012415809464050892
JAGUAR,118,0.0007876696326655942
PLYMOUTH,84,0.0005607139757958467
SUZUKI,70,0.00046726164649653893
GEO,57,0.0003804844835757531
YAMAHA,49,0.00032708315254757726
ISUZU,47,0.00031373281979053325
LAND ROVER,44,0.0002937073206549673
FERRARI,44,0.0002937073206549673
HARLEY DAVIDSON,36,0.00024030598962679144
PORSCHE,25,0.00016687915946304963
